"","bestCostByT","temperatures"
"211",1619983172,154268204,663904
"212",1619983172,152725522,617265
"213",1619983172,151198267,391093
"214",1619983172,149686284,717182
"215",1619983172,148189421,87001
"216",1619983172,146707527,65131
"217",1619983172,145240452,374797
"218",1619983172,143788047,851049
"219",1619983172,142350167,372538
"220",1619983172,140926665,698813
"221",1619983172,139517399,041825
"222",1619983172,138122225,051407
"223",1619983172,136741002,800892
"224",1619983172,135373592,772884
"225",1619983172,134019856,845155
"226",1619983172,132679658,276703
"227",1619983172,131352861,693936
"228",1619983172,130039333,076997
"229",1619983172,128738939,746227
"230",1619983172,127451550,348765
"231",1619983172,126177034,845277
"232",1619983172,124915264,496824
"233",1619983172,123666111,851856
"234",1619983172,122429450,733337
"235",2037438889,121205156,226004
"236",2037438889,119993104,663744
"237",2037438889,118793173,617106
"238",2037438889,117605241,880935
"239",2037438889,116429189,462126
"240",2037438889,115264897,567505
"241",2037438889,114112248,59183
"242",2037438889,112971126,105911
"243",2037438889,111841414,844852
"244",2037438889,110723000,696404
"245",2037438889,109615770,68944
"246",2037438889,108519612,982545
"247",2037438889,107434416,85272
"248",2037438889,106360072,684193
"249",2037438889,105296471,957351
"250",2037438889,104243507,237777
"251",2037438889,103201072,165399
"252",2037438889,102169061,443745
"253",2037438889,101147370,829308
"254",2037438889,100135897,121015
"255",2037438889,99134538,1498047
"256",2037438889,98143192,7683067
"257",2037438889,97161760,8406236
"258",2037438889,96190143,2322174
"259",2037438889,95228241,7998952
"260",2037438889,94275959,3818963
"261",2037438889,93333199,7880773
"262",2037438889,92399867,7901965
"263",2037438889,91475869,1122946
"264",2037438889,90561110,4211716
"265",2037438889,89655499,3169599
"266",2037438889,88758944,3237903
"267",2037438889,87871354,8805524
"268",2037438889,86992641,3317469
"269",2037438889,86122714,9184294
"270",2037438889,85261487,7692451
"271",2037438889,84408872,8915526
"272",2037438889,83564784,1626371
"273",2037438889,82729136,3210107
"274",2037438889,81901844,9578006
"275",2037438889,81082826,5082226
"276",2037438889,80271998,2431404
"277",2037438889,79469278,260709
"278",2037438889,78674585,4781019
"279",2037438889,77887839,6233209
"280",1972944905,77108961,2270877
"281",1972944905,76337871,6148168
"282",1972944905,75574492,8986686
"283",1972944905,74818747,9696819
"284",1972944905,74070560,4899851
"285",1972944905,73329854,8850853
"286",1972944905,72596556,3362344
"287",1972944905,71870590,7728721
"288",1972944905,71151884,8651433
"289",1972944905,70440366,0164919
"290",1972944905,69735962,356327
"291",1972944905,69038602,7327637
"292",1972944905,68348216,7054361
"293",1972944905,67664734,5383817
"294",1972944905,66988087,1929979
"295",1972944905,66318206,3210679
"296",1972944905,65655024,2578572
"297",1887491591,64998474,0152787
"298",1887491591,64348489,2751259
"299",1887491591,63705004,3823746
"300",1887491591,63067954,3385509
"301",1887491591,62437274,7951654
"302",1887491591,61812902,0472137
"303",1887491591,61194773,0267416
"304",1887491591,60582825,2964742
"305",1887491591,59976997,0435094
"306",1887491591,59377227,0730743
"307",1887491591,58783454,8023436
"308",1887491591,58195620,2543201
"309",1887491591,57613664,0517769
"310",1887491591,57037527,4112592
"311",1887491591,56467152,1371466
"312",1887491591,55902480,6157751
"313",1887491591,55343455,8096173
"314",1887491591,54790021,2515212
"315",1887491591,54242121,039006
"316",1887491591,53699699,8286159
"317",1887491591,53162702,8303297
"318",1887491591,52631075,8020265
"319",1887491591,52104765,0440062
"320",1887491591,51583717,3935661
"321",1887491591,51067880,2196305
"322",1887491591,50557201,4174342
"323",1887491591,50051629,4032598
"324",1887491591,49551113,1092272
"325",1887491591,49055601,978135
"326",1887491591,48565045,9583536
"327",1887491591,48079395,4987701
"328",1887491591,47598601,5437824
"329",1887491591,47122615,5283445
"330",1887491591,46651389,3730611
"331",1887491591,46184875,4793305
"332",1887491591,45723026,7245372
"333",1887491591,45265796,4572918
"334",1887491591,44813138,4927189
"335",1887491591,44365007,1077917
"336",1887491591,43921357,0367138
"337",1887491591,43482143,4663466
"338",1887491591,43047322,0316832
"339",1887491591,42616848,8113663
"340",1887491591,42190680,3232527
"341",1887491591,41768773,5200201
"342",1887491591,41351085,7848199
"343",1887491591,40937574,9269717
"344",1691970048,40528199,177702
"345",1691970048,40122917,185925
"346",1691970048,39721688,0140657
"347",1691970048,39324471,1339251
"348",1691970048,38931226,4225858
"349",1691970048,38541914,15836
"350",1691970048,38156495,0167764
"351",1691970048,37774930,0666086
"352",1691970048,37397180,7659425
"353",1691970048,37023208,9582831
"354",1691970048,36652976,8687003
"355",1691970048,36286447,1000133
"356",1691970048,35923582,6290131
"357",1691970048,35564346,802723
"358",1691970048,35208703,3346958
"359",1691970048,34856616,3013488
"360",1691970048,34508050,1383353
"361",1691970048,34162969,636952
"362",1772436884,33821339,9405825
"363",1772436884,33483126,5411766
"364",1772436884,33148295,2757649
"365",1772436884,32816812,3230072
"366",1772436884,32488644,1997771
"367",1772436884,32163757,7577794
"368",1772436884,31842120,1802016
"369",1772436884,31523698,9783996
"370",1772436884,31208461,9886156
"371",1772436884,30896377,3687294
"372",1772436884,30587413,5950421
"373",1772436884,30281539,4590917
"374",1772436884,29978724,0645008
"375",1772436884,29678936,8238558
"376",1772436884,29382147,4556172
"377",1772436884,29088325,981061
"378",1772436884,28797442,7212504
"379",1772436884,28509468,2940379
"380",1772436884,28224373,6110975
"381",1772436884,27942129,8749866
"382",1772436884,27662708,5762367
"383",1772436884,27386081,4904743
"384",1772436884,27112220,6755696
"385",1772436884,26841098,4688139
"386",1772436884,26572687,4841258
"387",1772436884,26306960,6092845
"388",1772436884,26043891,0031917
"389",1772436884,25783452,0931597
"390",1772436884,25525617,5722281
"391",1772436884,25270361,3965059
"392",1772436884,25017657,7825408
"393",1772436884,24767481,2047154
"394",1772436884,24519806,3926682
"395",1772436884,24274608,3287416
"396",1772436884,24031862,2454541
"397",1772436884,23791543,6229996
"398",1772436884,23553628,1867696
"399",1772436884,23318091,9049019
"400",1772436884,23084910,9858529
"401",1772436884,22854061,8759944
"402",1772436884,22625521,2572344
"403",1772436884,22399266,0446621
"404",1772436884,22175273,3842154
"405",1772436884,21953520,6503733
"406",1772436884,21733985,4438696
"407",1772436884,21516645,5894309
"408",1772436884,21301479,1335366
"409",1772436884,21088464,3422012
"410",1772436884,20877579,6987792
"411",1772436884,20668803,9017914
"412",1772436884,20462115,8627735
"413",1772436884,20257494,7041457
"414",1772436884,20054919,7571043
"415",1772436884,19854370,5595332
"416",1772436884,19655826,8539379
"417",1772436884,19459268,5853985
"418",1772436884,19264675,8995445
"419",1772436884,19072029,1405491
"420",1772436884,18881308,8491436
"421",1772436884,18692495,7606522
"422",1772436884,18505570,8030456
"423",1772436884,18320515,0950152
"424",1772436884,18137309,944065
"425",1772436884,17955936,8446244
"426",1772436884,17776377,4761781
"427",1772436884,17598613,7014164
"428",1772436884,17422627,5644022
"429",1772436884,17248401,2887582
"430",1772436884,17075917,2758706
"431",1772436884,16905158,1031119
"432",1772436884,16736106,5220808
"433",1772436884,16568745,45686
"434",1772436884,16403058,0022914
"435",1772436884,16239027,4222684
"436",1772436884,16076637,1480458
"437",1772436884,15915870,7765653
"438",1772436884,15756712,0687996
"439",1772436884,15599144,9481116
"440",1772436884,15443153,4986305
"441",1772436884,15288721,9636442
"442",1772436884,15135834,7440078
"443",1772436884,14984476,3965677
"444",1772436884,14834631,632602
"445",1772436884,14686285,316276
"446",1772436884,14539422,4631132
"447",1772436884,14394028,2384821
"448",1772436884,14250087,9560973
"449",1772436884,14107587,0765363
"450",1772436884,13966511,205771
"451",1772436884,13826846,0937132
"452",1772436884,13688577,6327761
"453",1772436884,13551691,8564483
"454",1772436884,13416174,9378839
"455",1772436884,13282013,188505
"456",1772436884,13149193,05662
"457",1772436884,13017701,1260538
"458",1772436884,12887524,1147932
"459",1772436884,12758648,8736453
"460",1772436884,12631062,3849089
"461",1772436884,12504751,7610598
"462",1772436884,12379704,2434492
"463",1772436884,12255907,2010147
"464",1772436884,12133348,1290045
"465",1772436884,12012014,6477145
"466",1772436884,11891894,5012373
"467",1772436884,11772975,556225
"468",1772436884,11655245,8006627
"469",1772436884,11538693,3426561
"470",1772436884,11423306,4092295
"471",1772436884,11309073,3451372
"472",1772436884,11195982,6116859
"473",1459620444,11084022,785569
"474",1459620444,10973182,5577133
"475",1459620444,10863450,7321362
"476",1459620444,10754816,2248148
"477",1459620444,10647268,0625667
"478",1459620444,10540795,381941
"479",1459620444,10435387,4281216
"480",1459620444,10331033,5538404
"481",1459620444,10227723,218302
"482",1459620444,10125445,986119
"483",1459620444,10024191,5262578
"484",1459620444,9923949,61099519
"485",1459620444,9824710,11488524
"486",1459620444,9726463,01373638
"487",1459620444,9629198,38359902
