"","bestCostByT","temperatures"
"1",2574120645,9e+05
"2",2574120645,810000
"3",2574120645,729000
"4",2574120645,656100
"5",2381146587,590490
"6",2381146587,531441
"7",2381146587,478296,9
"8",2381146587,430467,21
"9",2381146587,387420,489
"10",2381146587,348678,4401
"11",2381146587,313810,59609
"12",2381146587,282429,536481
"13",2381146587,254186,5828329
"14",2381146587,228767,92454961
"15",2381146587,205891,132094649
"16",2381146587,185302,018885184
"17",2381146587,166771,816996666
"18",2381146587,150094,635296999
"19",2381146587,135085,171767299
"20",2381146587,121576,654590569
"21",2381146587,109418,989131512
"22",2381146587,98477,0902183612
"23",2381146587,88629,381196525
"24",2381146587,79766,4430768725
"25",2381146587,71789,7987691853
"26",2381146587,64610,8188922668
"27",2290908221,58149,7370030401
"28",2290908221,52334,7633027361
"29",2290908221,47101,2869724625
"30",2290908221,42391,1582752162
"31",2290908221,38152,0424476946
"32",2290908221,34336,8382029251
"33",2290908221,30903,1543826326
"34",2290908221,27812,8389443694
"35",2290908221,25031,5550499324
"36",2290908221,22528,3995449392
"37",2290908221,20275,5595904453
"38",2290908221,18248,0036314007
"39",2290908221,16423,2032682607
"40",2290908221,14780,8829414346
"41",2290908221,13302,7946472911
"42",2290908221,11972,515182562
"43",2290908221,10775,2636643058
"44",2290908221,9697,73729787524
"45",2290908221,8727,96356808772
"46",2290908221,7855,16721127895
"47",2290908221,7069,65049015105
"48",2290908221,6362,68544113595
"49",2290908221,5726,41689702235
"50",2290908221,5153,77520732012
"51",2290908221,4638,3976865881
"52",2290908221,4174,55791792929
"53",2290908221,3757,10212613637
"54",2290908221,3381,39191352273
"55",2290908221,3043,25272217046
"56",2290908221,2738,92744995341
"57",2290908221,2465,03470495807
"58",2290908221,2218,53123446226
"59",2290908221,1996,67811101604
"60",2290908221,1797,01029991443
"61",2290908221,1617,30926992299
"62",2290908221,1455,57834293069
"63",2290908221,1310,02050863762
"64",2290908221,1179,01845777386
"65",2290908221,1061,11661199647
"66",2290908221,955,004950796826
