"","costs","x"
"1",148810578,1
"2",148810578,2
"3",148810578,3
"4",148703487,4
"5",148719383,5
"6",148706448,6
"7",148706448,7
"8",148706448,8
"9",149054111,9
"10",148683327,10
"11",149552114,11
"12",149552114,12
"13",149566388,13
"14",150208153,14
"15",150208153,15
"16",148697424,16
"17",148686782,17
"18",148686782,18
"19",148686782,19
"20",149278203,20
"21",149278203,21
"22",149278203,22
"23",149278203,23
"24",148673121,24
"25",148673121,25
"26",149610932,26
"27",148952902,27
"28",149052750,28
"29",149052750,29
"30",150805737,30
"31",148714472,31
"32",148714472,32
"33",148705022,33
"34",148705022,34
"35",148705022,35
"36",148705022,36
"37",148928741,37
"38",149923363,38
"39",150251828,39
"40",150075562,40
"41",148816261,41
"42",148768881,42
"43",149094303,43
"44",149650007,44
"45",149650007,45
"46",149950408,46
"47",148756983,47
"48",148818100,48
"49",148665579,49
"50",148665579,50
"51",149054948,51
"52",151555023,52
"53",148902705,53
"54",148902705,54
"55",149944120,55
"56",149944120,56
"57",149944120,57
"58",149944120,58
"59",148877715,59
"60",149332833,60
"61",149332833,61
"62",149367145,62
"63",148782381,63
"64",151158722,64
"65",148913024,65
"66",148768454,66
"67",149024966,67
"68",149024966,68
"69",148854703,69
"70",148751091,70
"71",148751091,71
"72",148751091,72
"73",148751091,73
"74",148751091,74
"75",148740961,75
"76",148631047,76
"77",148682349,77
"78",148682349,78
"79",148682349,79
"80",148678361,80
"81",148715078,81
"82",148881915,82
"83",148673061,83
"84",148673061,84
"85",148695694,85
"86",148695694,86
"87",148695694,87
"88",148768483,88
"89",148768483,89
"90",148768483,90
"91",148768483,91
"92",148704323,92
"93",148704323,93
"94",149093800,94
"95",149093800,95
"96",148752287,96
"97",148595558,97
"98",149278087,98
"99",148712000,99
"100",148712000,100
"101",148712000,101
"102",148712000,102
"103",148702521,103
"104",148772815,104
"105",148772815,105
"106",148772815,106
"107",149312019,107
"108",148827599,108
"109",148827599,109
"110",148778504,110
"111",148702579,111
"112",148882084,112
"113",149484886,113
"114",148793617,114
"115",148793617,115
"116",148793617,116
"117",148793617,117
"118",148827046,118
"119",148827046,119
"120",148827046,120
"121",148684089,121
"122",148684089,122
"123",148684089,123
"124",148684089,124
"125",148684089,125
"126",148684089,126
"127",148684089,127
"128",148884535,128
"129",148884535,129
"130",148884535,130
"131",148685160,131
"132",149142191,132
"133",149142191,133
"134",148699832,134
"135",150145917,135
"136",149804475,136
"137",149804475,137
"138",149804475,138
"139",148816992,139
"140",148705237,140
"141",148716064,141
"142",148716064,142
"143",149048026,143
"144",148822872,144
"145",148816506,145
"146",149108785,146
"147",149060621,147
"148",148956305,148
"149",148774575,149
"150",149239435,150
"151",148689783,151
"152",148689783,152
"153",148682865,153
"154",148682865,154
"155",148741869,155
"156",148902448,156
"157",149082831,157
"158",149082831,158
"159",148741656,159
"160",148734244,160
"161",148958037,161
"162",148958037,162
"163",148958037,163
"164",148958037,164
"165",149239083,165
"166",149506613,166
"167",148702948,167
"168",148702948,168
"169",148651034,169
"170",148651034,170
"171",148651034,171
"172",148658721,172
"173",148712233,173
"174",148712233,174
"175",149240236,175
"176",149355655,176
"177",149355655,177
"178",149355655,178
"179",148731592,179
"180",148731592,180
"181",148534285,181
"182",148534285,182
"183",148352779,183
"184",148808208,184
"185",149485150,185
"186",148798342,186
"187",148798342,187
"188",148798342,188
"189",149244253,189
"190",149244253,190
"191",149009964,191
"192",150146736,192
"193",148853322,193
"194",148759222,194
"195",148759222,195
"196",148740569,196
"197",150366108,197
"198",149123161,198
"199",148915439,199
"200",148915439,200
"201",149674681,201
"202",149466968,202
"203",149288567,203
"204",149288567,204
"205",149790986,205
"206",148992187,206
"207",148992187,207
"208",149476747,208
"209",148454438,209
"210",148672061,210
"211",148672061,211
"212",148672061,212
"213",148792875,213
"214",148792875,214
"215",148792875,215
"216",149121859,216
"217",148001152,217
"218",148001152,218
"219",148994358,219
"220",148994358,220
"221",148688852,221
"222",148692489,222
"223",148692489,223
"224",149093201,224
"225",149008641,225
"226",148891725,226
"227",148758859,227
