"","bestCostByT","temperatures"
"1",196966890,9e+05
"2",196600032,810000
"3",196625107,729000
"4",196649894,656100
"5",196540179,590490
"6",196923293,531441
"7",196155413,478296,9
"8",197189828,430467,21
"9",196622786,387420,489
"10",196245743,348678,4401
"11",196742004,313810,59609
"12",196409085,282429,536481
"13",196555537,254186,5828329
"14",196625820,228767,92454961
"15",196790523,205891,132094649
"16",196701236,185302,018885184
"17",196591427,166771,816996666
"18",196552626,150094,635296999
"19",195553268,135085,171767299
"20",195553268,121576,654590569
"21",195553268,109418,989131512
"22",195553268,98477,0902183612
"23",195553268,88629,381196525
"24",195553268,79766,4430768725
"25",195553268,71789,7987691853
"26",195553268,64610,8188922668
"27",195553268,58149,7370030401
"28",195553268,52334,7633027361
"29",195553268,47101,2869724625
"30",194561497,42391,1582752162
"31",194561497,38152,0424476946
"32",194561497,34336,8382029251
"33",194561497,30903,1543826326
"34",194561497,27812,8389443694
"35",194042895,25031,5550499324
"36",194042895,22528,3995449392
"37",194042895,20275,5595904453
"38",194042895,18248,0036314007
"39",194042895,16423,2032682607
"40",194042895,14780,8829414346
"41",194042895,13302,7946472911
"42",194042895,11972,515182562
"43",194042895,10775,2636643058
"44",194042895,9697,73729787524
"45",194042895,8727,96356808772
"46",194042895,7855,16721127895
"47",194042895,7069,65049015105
"48",194042895,6362,68544113595
"49",193832941,5726,41689702235
"50",193832941,5153,77520732012
"51",193832941,4638,3976865881
"52",193832941,4174,55791792929
"53",193832941,3757,10212613637
"54",193832941,3381,39191352273
"55",193832941,3043,25272217046
"56",193832941,2738,92744995341
"57",193832941,2465,03470495807
"58",193832941,2218,53123446226
"59",193832941,1996,67811101604
"60",193832941,1797,01029991443
"61",193832941,1617,30926992299
"62",193832941,1455,57834293069
"63",193832941,1310,02050863762
"64",193832941,1179,01845777386
"65",193832941,1061,11661199647
"66",193832941,955,004950796826
