"","bestCostByT","temperatures"
"1",6640020148,950000
"2",6585802945,902500
"3",6585802945,857375
"4",6560102978,814506,25
"5",6560102978,773780,9375
"6",6560102978,735091,890625
"7",6531800282,698337,29609375
"8",6527451865,663420,431289062
"9",6527451865,630249,409724609
"10",6527451865,598736,939238379
"11",6527451865,568800,09227646
"12",6527451865,540360,087662637
"13",6527451865,513342,083279505
"14",6527451865,487674,97911553
"15",6527451865,463291,230159753
"16",6477419807,440126,668651765
"17",6477419807,418120,335219177
"18",6420100990,397214,318458218
"19",6420100990,377353,602535307
"20",6420100990,358485,922408542
"21",6420100990,340561,626288115
"22",6420100990,323533,544973709
"23",6420100990,307356,867725024
"24",6420100990,291989,024338772
"25",6420100990,277389,573121834
"26",6420100990,263520,094465742
"27",6420100990,250344,089742455
"28",6420100990,237826,885255332
"29",6420100990,225935,540992566
"30",6420100990,214638,763942937
"31",6420100990,203906,82574579
"32",6420100990,193711,484458501
"33",6420100990,184025,910235576
"34",6420100990,174824,614723797
"35",6420100990,166083,383987607
"36",6420100990,157779,214788227
"37",6420100990,149890,254048815
"38",6420100990,142395,741346375
"39",6420100990,135275,954279056
"40",6416598971,128512,156565103
"41",6416598971,122086,548736848
"42",6395785026,115982,221300006
"43",6395785026,110183,110235005
"44",6395785026,104673,954723255
"45",6395785026,99440,2569870922
"46",6395785026,94468,2441377376
"47",6395785026,89744,8319308507
"48",6395785026,85257,5903343082
"49",6302568443,80994,7108175927
"50",6302568443,76944,9752767131
"51",6302568443,73097,7265128774
"52",6302568443,69442,8401872336
"53",6302568443,65970,6981778719
"54",6302568443,62672,1632689783
"55",6302568443,59538,5551055294
"56",6302568443,56561,6273502529
"57",6302568443,53733,5459827403
"58",6302568443,51046,8686836032
"59",6302568443,48494,5252494231
"60",6302568443,46069,7989869519
"61",6302568443,43766,3090376043
"62",6263710240,41577,9935857241
"63",6263710240,39499,0939064379
"64",6263710240,37524,139211116
"65",6263710240,35647,9322505602
"66",6263710240,33865,5356380322
"67",6263710240,32172,2588561306
"68",6263710240,30563,645913324
"69",6263710240,29035,4636176578
"70",6263710240,27583,690436775
"71",6263710240,26204,5059149362
"72",6263710240,24894,2806191894
"73",6263710240,23649,5665882299
"74",6263710240,22467,0882588184
"75",6263710240,21343,7338458775
"76",6263710240,20276,5471535836
"77",6263710240,19262,7197959044
"78",6263710240,18299,5838061092
"79",6263710240,17384,6046158038
"80",6263710240,16515,3743850136
"81",6263710240,15689,6056657629
"82",6263710240,14905,1253824747
"83",6263710240,14159,869113351
"84",6263710240,13451,8756576835
"85",6263710240,12779,2818747993
"86",6263710240,12140,3177810593
"87",6263710240,11533,3018920063
"88",6263710240,10956,636797406
"89",6263710240,10408,8049575357
"90",6263710240,9888,36470965894
"91",6263710240,9393,94647417599
"92",6263710240,8924,24915046719
"93",6263710240,8478,03669294384
"94",6263710240,8054,13485829664
"95",6263710240,7651,42811538181
"96",6263710240,7268,85670961272
"97",6263710240,6905,41387413208
"98",6263710240,6560,14318042548
"99",6263710240,6232,1360214042
"100",6263710240,5920,52922033399
"101",6263710240,5624,50275931729
"102",6263710240,5343,27762135143
"103",6263710240,5076,11374028386
"104",6263710240,4822,30805326967
"105",6263710240,4581,19265060618
"106",6263710240,4352,13301807587
"107",6263710240,4134,52636717208
"108",6263710240,3927,80004881348
"109",6263710240,3731,4100463728
"110",6263710240,3544,83954405416
"111",6263710240,3367,59756685145
"112",6263710240,3199,21768850888
"113",6263710240,3039,25680408344
"114",6263710240,2887,29396387926
"115",6263710240,2742,9292656853
"116",6179956176,2605,78280240104
"117",6179956176,2475,49366228098
"118",6179956176,2351,71897916693
"119",6179956176,2234,13303020859
"120",6179956176,2122,42637869816
"121",6179956176,2016,30505976325
"122",6179956176,1915,48980677509
"123",6179956176,1819,71531643633
"124",6179956176,1728,72955061452
"125",6179956176,1642,29307308379
"126",6179956176,1560,1784194296
"127",6179956176,1482,16949845812
"128",6179956176,1408,06102353521
"129",6179956176,1337,65797235845
"130",6179956176,1270,77507374053
"131",6179956176,1207,2363200535
"132",6179956176,1146,87450405083
"133",6179956176,1089,53077884829
"134",6179956176,1035,05423990587
"135",6179956176,983,301527910579
