"","bestCostByT","temperatures"
"1",197612854,990000
"2",196878102,980100
"3",196421030,970299
"4",197142326,960596,01
"5",198738878,950990,0499
"6",196871592,941480,149401
"7",196605200,932065,34790699
"8",197496594,922744,69442792
"9",196733082,913517,247483641
"10",198498506,904382,075008804
"11",196791761,895338,254258716
"12",196678602,886384,871716129
"13",196811528,877521,022998968
"14",196690551,868745,812768978
"15",196914935,860058,354641288
"16",197083765,851457,771094875
"17",196717486,842943,193383927
"18",196643244,834513,761450087
"19",196643244,826168,623835587
"20",196719739,817906,937597231
"21",197140669,809727,868221259
"22",196700647,801630,589539046
"23",196801741,793614,283643655
"24",196741991,785678,140807219
"25",197491471,777821,359399147
"26",196908748,770043,145805155
"27",196678403,762342,714347104
"28",196684340,754719,287203633
"29",196578816,747172,094331596
"30",196745924,739700,37338828
"31",196989859,732303,369654397
"32",196634030,724980,335957853
"33",196825726,717730,532598275
"34",197716099,710553,227272292
"35",196560095,703447,694999569
"36",196616648,696413,218049573
"37",196931313,689449,085869078
"38",196633522,682554,595010387
"39",196615681,675729,049060283
"40",196782898,668971,75856968
"41",196582305,662282,040983983
"42",196826485,655659,220574143
"43",196585864,649102,628368402
"44",196618433,642611,602084718
"45",196705444,636185,486063871
"46",196726124,629823,631203232
"47",197017998,623525,3948912
"48",196617629,617290,140942288
"49",196285646,611117,239532865
"50",196590633,605006,067137536
"51",196691450,598956,006466161
"52",196903887,592966,446401499
"53",196664944,587036,781937484
"54",196616966,581166,414118109
"55",196641489,575354,749976928
"56",196830037,569601,202477159
"57",196600304,563905,190452387
"58",196804274,558266,138547863
"59",196558335,552683,477162385
"60",196782865,547156,642390761
"61",196290924,541685,075966853
"62",196122426,536268,225207185
"63",196412755,530905,542955113
"64",196580714,525596,487525562
"65",197195623,520340,522650306
"66",196603016,515137,117423803
"67",197144652,509985,746249565
"68",195499375,504885,888787069
"69",196603014,499837,029899199
"70",196589884,494838,659600207
"71",196962687,489890,273004205
"72",196586954,484991,370274163
"73",196977249,480141,456571421
"74",196165330,475340,042005707
"75",196612726,470586,64158565
"76",196650841,465880,775169793
"77",196634201,461221,967418095
"78",197516617,456609,747743914
"79",197193021,452043,650266475
"80",196654602,447523,21376381
"81",196622299,443047,981626172
"82",196618481,438617,501809911
"83",196593794,434231,326791811
"84",196549001,429889,013523893
"85",196534759,425590,123388654
"86",196628796,421334,222154768
"87",196177813,417120,87993322
"88",196605403,412949,671133888
"89",196703357,408820,174422549
"90",196648491,404731,972678324
"91",196983067,400684,65295154
"92",196744511,396677,806422025
"93",197180613,392711,028357805
"94",196259371,388783,918074227
"95",198232623,384896,078893484
"96",196671176,381047,118104549
"97",196878666,377236,646923504
"98",196593085,373464,280454269
"99",195807128,369729,637649726
"100",195807128,366032,341273229
"101",196638541,362372,017860497
"102",196615302,358748,297681892
"103",196648920,355160,814705073
"104",196784072,351609,206558022
"105",195648432,348093,114492442
"106",195648432,344612,183347517
"107",195648432,341166,061514042
"108",196605144,337754,400898902
"109",196049387,334376,856889913
"110",196593374,331033,088321014
"111",196633453,327722,757437804
"112",196440005,324445,529863426
"113",196606400,321201,074564791
"114",196839898,317989,063819143
"115",196774291,314809,173180952
"116",196109280,311661,081449142
"117",195706381,308544,470634651
"118",195706381,305459,025928305
"119",196603194,302404,435669022
"120",196589484,299380,391312331
"121",196846075,296386,587399208
"122",196651276,293422,721525216
"123",196383706,290488,494309964
"124",195867724,287583,609366864
"125",195582987,284707,773273195
"126",195582987,281860,695540463
"127",195582987,279042,088585059
"128",195582987,276251,667699208
"129",195582987,273489,151022216
"130",195582987,270754,259511994
"131",195582987,268046,716916874
"132",195582987,265366,249747705
"133",196889490,262712,587250228
"134",196613400,260085,461377726
"135",196665866,257484,606763949
"136",195138184,254909,760696309
"137",195138184,252360,663089346
"138",195138184,249837,056458453
"139",195138184,247338,685893868
"140",195138184,244865,299034929
"141",195138184,242416,64604458
"142",195138184,239992,479584134
"143",195138184,237592,554788293
"144",195138184,235216,62924041
"145",195138184,232864,462948006
"146",195138184,230535,818318526
"147",195138184,228230,460135341
"148",195138184,225948,155533987
"149",195138184,223688,673978647
"150",195138184,221451,787238861
"151",195138184,219237,269366472
"152",195138184,217044,896672808
"153",195138184,214874,447706079
"154",195138184,212725,703229019
"155",195138184,210598,446196729
"156",195138184,208492,461734761
"157",195138184,206407,537117414
"158",195138184,204343,461746239
"159",195138184,202300,027128777
"160",195138184,200277,026857489
"161",195138184,198274,256588914
"162",195138184,196291,514023025
"163",195138184,194328,598882795
"164",195138184,192385,312893967
"165",195138184,190461,459765027
"166",195138184,188556,845167377
"167",195138184,186671,276715703
"168",195138184,184804,563948546
"169",195138184,182956,518309061
"170",195138184,181126,95312597
"171",195138184,179315,683594711
"172",195138184,177522,526758763
"173",195138184,175747,301491176
"174",195138184,173989,828476264
"175",195138184,172249,930191501
"176",195138184,170527,430889586
"177",195138184,168822,15658069
"178",195138184,167133,935014884
"179",195138184,165462,595664735
"180",195138184,163807,969708087
"181",195138184,162169,890011007
"182",195138184,160548,191110896
"183",195138184,158942,709199787
"184",195138184,157353,28210779
"185",195138184,155779,749286712
"186",195138184,154221,951793845
"187",195138184,152679,732275906
"188",195138184,151152,934953147
"189",195138184,149641,405603616
"190",195138184,148144,991547579
"191",195138184,146663,541632104
"192",195138184,145196,906215783
"193",195138184,143744,937153625
