"","costs","x"
"1",196587626,1
"2",196587626,2
"3",196587626,3
"4",196775050,4
"5",196775050,5
"6",196775050,6
"7",196684623,7
"8",196684623,8
"9",196684623,9
"10",196737466,10
"11",196658242,11
"12",196799537,12
"13",196706974,13
"14",196706974,14
"15",196706974,15
"16",196898156,16
"17",196898156,17
"18",196898156,18
"19",196898156,19
"20",196898156,20
"21",196898156,21
"22",196898156,22
"23",196898156,23
"24",196898156,24
"25",196572794,25
"26",196572794,26
"27",196572794,27
"28",197086647,28
"29",197086647,29
"30",195746244,30
"31",195746244,31
"32",195746244,32
"33",195746244,33
"34",195746244,34
"35",197740755,35
"36",197740755,36
"37",196656478,37
"38",196656478,38
"39",196842118,39
"40",197740545,40
"41",196595761,41
"42",197470014,42
"43",197470014,43
"44",197470014,44
"45",197470473,45
"46",197466208,46
"47",196483918,47
"48",196483918,48
"49",196483918,49
"50",196483918,50
"51",196483918,51
"52",197148105,52
"53",197148105,53
"54",196240115,54
"55",196240115,55
"56",197253740,56
"57",197253740,57
"58",197253740,58
"59",197035049,59
"60",196590912,60
"61",196590912,61
"62",196590912,62
"63",196590912,63
"64",196590912,64
"65",199559890,65
"66",199660089,66
"67",196651367,67
"68",196651367,68
"69",196863638,69
"70",196607941,70
"71",196607941,71
"72",196854759,72
"73",196854759,73
"74",197059070,74
"75",197702826,75
"76",197702826,76
"77",197702826,77
"78",197207724,78
"79",197207724,79
"80",197107545,80
"81",197107545,81
"82",197107545,82
"83",197107545,83
"84",196806523,84
"85",196806523,85
"86",197024087,86
"87",196871163,87
"88",196657946,88
"89",196625689,89
"90",196644156,90
"91",196832604,91
"92",196832604,92
"93",196832604,93
"94",196538450,94
"95",196922211,95
"96",197545454,96
"97",196674988,97
"98",196674988,98
"99",196674988,99
"100",196674988,100
"101",196674988,101
"102",196674988,102
"103",196674988,103
"104",196852923,104
"105",196822273,105
"106",196822273,106
"107",196822273,107
"108",196538915,108
"109",196538915,109
"110",196538915,110
"111",196802392,111
"112",196871301,112
"113",196871301,113
"114",196871301,114
"115",197628731,115
"116",197158411,116
"117",198031705,117
"118",196743016,118
"119",196796254,119
"120",196731180,120
"121",196731180,121
"122",197686825,122
"123",198408966,123
"124",197753133,124
"125",198522859,125
"126",196600517,126
"127",196600517,127
"128",196600517,128
"129",197234729,129
"130",197234729,130
"131",196866150,131
"132",196866150,132
"133",196866150,133
"134",197274242,134
"135",196884649,135
"136",196884649,136
"137",196884649,137
"138",197216972,138
"139",197216972,139
"140",197216972,140
"141",197125987,141
"142",196942900,142
"143",197150064,143
"144",196649278,144
"145",196649278,145
"146",196649278,146
"147",196649278,147
"148",196649278,148
"149",196603243,149
"150",196603243,150
"151",196603243,151
"152",196603243,152
"153",196773086,153
"154",196773086,154
"155",196773086,155
"156",196773086,156
"157",196773086,157
"158",196773086,158
"159",199197571,159
"160",197639776,160
"161",197686142,161
"162",198537121,162
"163",196899776,163
"164",196780711,164
"165",196780711,165
"166",196780711,166
"167",196780711,167
"168",196780711,168
"169",196780711,169
"170",197199712,170
"171",196757155,171
"172",196898925,172
"173",196898925,173
"174",196898925,174
"175",196549847,175
"176",196549847,176
"177",196549847,177
"178",196549847,178
"179",196549847,179
"180",196549847,180
"181",196549847,181
"182",196862895,182
"183",196862895,183
"184",197121188,184
"185",196860656,185
"186",196860656,186
"187",196860656,187
"188",197192500,188
"189",197192500,189
"190",196750269,190
"191",196750269,191
"192",196691880,192
"193",196691880,193
"194",196691880,194
"195",196691880,195
"196",196691880,196
"197",196691880,197
"198",196691880,198
"199",197062937,199
"200",197062937,200
"201",197062937,201
"202",196944624,202
"203",196662538,203
"204",196951275,204
"205",196702130,205
"206",196702130,206
"207",196702130,207
"208",196702130,208
"209",196866953,209
"210",196866953,210
"211",196866953,211
"212",196866953,212
"213",196866953,213
"214",196866953,214
"215",196866953,215
"216",196920802,216
"217",196920802,217
"218",196920802,218
"219",197074342,219
"220",197074342,220
"221",197074342,221
"222",197074342,222
"223",194347307,223
"224",194347307,224
"225",194347307,225
"226",194347307,226
"227",194347307,227
"228",194347307,228
"229",194783849,229
"230",194783849,230
"231",194783849,231
"232",194783849,232
"233",194783849,233
"234",194783849,234
"235",194783849,235
"236",194783849,236
"237",194783849,237
"238",194783849,238
"239",194783849,239
"240",194783849,240
"241",194783849,241
"242",194783849,242
"243",194783849,243
"244",194783849,244
"245",194783849,245
"246",194783849,246
"247",194783849,247
"248",194783849,248
"249",194783849,249
"250",194783849,250
"251",194783849,251
"252",194783849,252
"253",194783849,253
"254",194783849,254
"255",194783849,255
"256",194783849,256
"257",194783849,257
"258",194783849,258
"259",194783849,259
"260",194783849,260
"261",194783849,261
"262",194783849,262
"263",194783849,263
"264",194783849,264
"265",194783849,265
"266",194783849,266
"267",194783849,267
"268",194783849,268
"269",194783849,269
"270",194783849,270
"271",194783849,271
"272",194783849,272
"273",194783849,273
"274",194783849,274
"275",194783849,275
"276",194783849,276
"277",194783849,277
"278",194783849,278
"279",194783849,279
"280",194783849,280
"281",194783849,281
"282",194783849,282
"283",194783849,283
"284",194783849,284
"285",194783849,285
"286",194783849,286
"287",194783849,287
"288",194783849,288
"289",194783849,289
"290",194783849,290
"291",194783849,291
"292",194783849,292
"293",194783849,293
"294",194783849,294
"295",194783849,295
"296",194783849,296
"297",194783849,297
"298",194783849,298
"299",194783849,299
"300",194783849,300
"301",194783849,301
"302",194783849,302
"303",194783849,303
"304",194783849,304
"305",194783849,305
"306",194783849,306
"307",194783849,307
"308",194783849,308
"309",194783849,309
"310",194783849,310
"311",194783849,311
"312",194783849,312
"313",194783849,313
"314",194783849,314
"315",194783849,315
"316",194783849,316
"317",194783849,317
"318",194783849,318
"319",194783849,319
"320",194783849,320
"321",194783849,321
"322",194783849,322
"323",194783849,323
"324",194783849,324
"325",194783849,325
"326",194783849,326
"327",194783849,327
"328",194783849,328
"329",194783849,329
"330",194783849,330
"331",194783849,331
"332",194783849,332
"333",194783849,333
"334",194783849,334
"335",194783849,335
"336",194155126,336
"337",194155126,337
"338",194155126,338
"339",194155126,339
"340",194155126,340
"341",194155126,341
"342",194155126,342
"343",194155126,343
"344",194155126,344
"345",194155126,345
"346",194155126,346
"347",194155126,347
"348",194155126,348
"349",194155126,349
"350",194155126,350
"351",194155126,351
"352",194155126,352
"353",194155126,353
"354",194155126,354
"355",194155126,355
"356",194155126,356
"357",194155126,357
"358",194155126,358
"359",194155126,359
"360",194155126,360
"361",194155126,361
"362",194155126,362
"363",194155126,363
"364",194155126,364
"365",194155126,365
"366",194155126,366
"367",194155126,367
"368",194155126,368
"369",194155126,369
"370",194155126,370
"371",194155126,371
"372",194155126,372
"373",194155126,373
