"","bestCostByT","temperatures"
"1",2471936367,9e+05
"2",2471936367,810000
"3",2471936367,729000
"4",2471936367,656100
"5",2471936367,590490
"6",2471936367,531441
"7",2471936367,478296,9
"8",2471936367,430467,21
"9",2471936367,387420,489
"10",2471936367,348678,4401
"11",2471936367,313810,59609
"12",2471936367,282429,536481
"13",2471936367,254186,5828329
"14",2443705982,228767,92454961
"15",2443705982,205891,132094649
"16",2443705982,185302,018885184
"17",2443705982,166771,816996666
"18",2443705982,150094,635296999
"19",2443705982,135085,171767299
"20",2443705982,121576,654590569
"21",2443705982,109418,989131512
"22",2443705982,98477,0902183612
