"","bestCostByT","temperatures"
"1",329896592,163293282,9
"2",331708457,161660350,071
"3",329885420,160043746,57029
"4",329237924,158443309,104587
"5",330063009,156858876,013541
"6",330370721,155290287,253406
"7",329916697,153737384,380872
"8",330169450,152200010,537063
"9",329920620,150678010,431692
"10",329879791,149171230,327375
"11",331432715,147679518,024102
"12",329909693,146202722,843861
"13",329885420,144740695,615422
"14",333600991,143293288,659268
"15",330103869,141860355,772675
"16",329885420,140441752,214948
"17",332465615,139037334,692799
"18",330903405,137646961,345871
"19",330303049,136270491,732412
"20",330033456,134907786,815088
"21",333127644,133558708,946937
"22",330010296,132223121,857468
"23",329991707,130900890,638893
"24",329885420,129591881,732504
"25",329829866,128295962,915179
"26",330296619,127013003,286027
"27",332004219,125742873,253167
"28",329885420,124485444,520635
"29",330491580,123240590,075429
"30",324431043,122008184,174675
"31",330592216,120788102,332928
"32",329885420,119580221,309599
"33",329934310,118384419,096503
"34",329968475,117200574,905538
"35",329885420,116028569,156482
"36",330005832,114868283,464918
"37",330625517,113719600,630268
"38",330489194,112582404,623966
"39",331328734,111456580,577726
"40",329885420,110342014,771949
"41",329981107,109238594,624229
"42",329942348,108146208,677987
"43",329872531,107064746,591207
"44",330000472,105994099,125295
"45",330362442,104934158,134042
"46",329885420,103884816,552702
"47",331157502,102845968,387175
"48",329053574,101817508,703303
"49",329933982,100799333,61627
"50",329918707,99791340,2801072
"51",329889128,98793426,8773061
"52",330550495,97805492,608533
"53",329891330,96827437,6824477
"54",332153621,95859163,3056232
"55",330033558,94900571,672567
"56",330350668,93951565,9558413
"57",329943153,93012050,2962829
"58",330766355,92081929,7933201
"59",329885420,91161110,4953869
"60",330814691,90249499,390433
"61",335062117,89347004,3965286
"62",330295234,88453534,3525634
"63",331382180,87568999,0090377
"64",330561493,86693309,0189473
"65",328789771,85826375,9287579
"66",330318528,84968112,1694703
"67",329897972,84118431,0477756
"68",330043320,83277246,7372978
"69",332472301,82444474,2699248
"70",329885420,81620029,5272256
"71",327805880,80803829,2319533
"72",329885420,79995790,9396338
"73",329885420,79195833,0302375
"74",329821135,78403874,6999351
"75",330135310,77619835,9529357
"76",329034967,76843637,5934064
"77",330267514,76075201,2174723
"78",329176865,75314449,2052976
"79",329964569,74561304,7132446
"80",331641856,73815691,6661122
"81",329885420,73077534,749451
"82",327317558,72346759,4019565
"83",329270563,71623291,807937
"84",330475150,70907058,8898576
"85",330545044,70197988,300959
"86",330634093,69496008,4179494
"87",331029503,68801048,3337699
"88",329896540,68113037,8504322
"89",333752797,67431907,4719279
"90",329885420,66757588,3972086
"91",329879465,66090012,5132365
"92",329915146,65429112,3881042
"93",330055471,64774821,2642231
"94",330750311,64127073,0515809
"95",329970680,63485802,3210651
"96",329885420,62850944,2978544
"97",329781799,62222434,8548759
"98",331092389,61600210,5063271
"99",329911258,60984208,4012639
"100",329919274,60374366,3172512
"101",330241910,59770622,6540787
"102",330044932,59172916,4275379
"103",332375640,58581187,2632625
"104",329885420,57995375,3906299
"105",330607995,57415421,6367236
"106",331880861,56841267,4203564
"107",330746834,56272854,7461528
"108",330280418,55710126,1986913
"109",331866312,55153024,9367044
"110",329893097,54601494,6873373
"111",332575235,54055479,7404639
"112",332069167,53514924,9430593
"113",327856279,52979775,6936287
"114",329989298,52449977,9366924
"115",330793065,51925478,1573255
"116",329885420,51406223,3757522
"117",330266390,50892161,1419947
"118",329816382,50383239,5305748
"119",330012319,49879407,135269
"120",330214479,49380613,0639163
"121",329885420,48886806,9332772
"122",330763291,48397938,8639444
"123",332335181,47913959,475305
"124",336160548,47434819,8805519
"125",330074622,46960471,6817464
"126",329876849,46490866,9649289
"127",329950908,46025958,2952796
"128",323888364,45565698,7123268
"129",329922211,45110041,7252036
"130",331023461,44658941,3079515
"131",330581448,44212351,894872
"132",325041373,43770228,3759233
"133",329894013,43332526,0921641
"134",329499709,42899200,8312424
"135",330135037,42470208,82293
"136",330026506,42045506,7347007
"137",329167690,41625051,6673537
"138",330058535,41208801,1506802
"139",329885420,40796713,1391734
"140",331206349,40388746,0077816
"141",329990486,39984858,5477038
"142",332148691,39585009,9622268
"143",330540568,39189159,8626045
"144",333797915,38797268,2639785
"145",333800811,38409295,5813387
"146",330814981,38025202,6255253
"147",331805951,37644950,59927
"148",329901920,37268501,0932773
"149",330574917,36895816,0823446
"150",329887502,36526857,9215211
"151",330302231,36161589,3423059
"152",329885420,35799973,4488828
"153",331854601,35441973,714394
"154",330032323,35087553,9772501
"155",329885420,34736678,4374776
"156",329889292,34389311,6531028
"157",329911143,34045418,5365718
"158",330464417,33704964,351206
"159",329922459,33367914,707694
"160",329885420,33034235,560617
"161",329920141,32703893,2050109
"162",329885420,32376854,2729608
"163",329878616,32053085,7302312
"164",329885420,31732554,8729288
"165",329993149,31415229,3241996
"166",329800333,31101077,0309576
"167",329885420,30790066,260648
"168",330003691,30482165,5980415
"169",329885420,30177343,9420611
"170",329947858,29875570,5026405
"171",330694153,29576814,7976141
"172",330370395,29281046,6496379
"173",331646989,28988236,1831415
"174",331076361,28698353,8213101
"175",329885420,28411370,283097
"176",328019518,28127256,5802661
"177",326117238,27845984,0144634
"178",331729945,27567524,1743188
"179",331611493,27291848,9325756
"180",330944640,27018930,4432498
"181",329942987,26748741,1388173
"182",329085269,26481253,7274292
"183",330270213,26216441,1901549
"184",329817525,25954276,7782533
"185",330022018,25694734,0104708
"186",332000814,25437786,6703661
"187",329885420,25183408,8036624
"188",329600679,24931574,7156258
"189",330161034,24682258,9684695
"190",330049096,24435436,3787848
"191",330105253,24191082,014997
"192",333647760,23949171,194847
"193",329618121,23709679,4828985
"194",329977307,23472582,6880696
"195",319224590,23237856,8611889
"196",331606144,23005478,292577
"197",329622853,22775423,5096512
"198",329885420,22547669,2745547
"199",329906685,22322192,5818091
"200",329911360,22098970,6559911
"201",329265747,21877980,9494311
"202",329931001,21659201,1399368
"203",328909021,21442609,1285375
"204",329825882,21228183,0372521
"205",329885420,21015901,2068796
"206",329885420,20805742,1948108
"207",329885420,20597684,7728627
"208",321243714,20391707,925134
"209",330613028,20187790,8458827
"210",329896540,19985912,9374239
"211",329922497,19786053,8080496
"212",329885420,19588193,2699691
"213",335993472,19392311,3372694
"214",329885420,19198388,2238967
"215",329885420,19006404,3416578
"216",330183310,18816340,2982412
"217",331352855,18628176,8952588
"218",330218401,18441895,1263062
"219",329937446,18257476,1750431
"220",330611430,18074901,4132927
"221",330076250,17894152,3991598
"222",329885420,17715210,8751682
"223",329885420,17538058,7664165
"224",329886022,17362678,1787523
"225",329745659,17189051,3969648
"226",330077796,17017160,8829952
"227",329948220,16846989,2741652
"228",329892656,16678519,3814236
"229",329857550,16511734,1876093
"230",329976724,16346616,8457332
"231",330144506,16183150,6772759
"232",332214463,16021319,1705031
"233",330489690,15861105,9787981
"234",329885420,15702494,9190101
"235",330426906,15545469,96982
"236",329441706,15390015,2701218
"237",329885420,15236115,1174206
"238",329969048,15083753,9662464
"239",331944425,14932916,4265839
"240",330239106,14783587,2623181
"241",329994763,14635751,3896949
"242",329931291,14489393,875798
"243",329895198,14344499,93704
"244",330648535,14201054,9376696
"245",324974051,14059044,3882929
"246",329864303,13918453,94441
"247",329885420,13779269,4049659
"248",329814439,13641476,7109162
"249",329961258,13505061,943807
"250",332983211,13370011,324369
"251",329902977,13236311,2111253
"252",329885420,13103948,099014
