"","bestCostByT","temperatures"
"229",145719673,100105,87426149
"230",145719673,99104,8155188746
"231",145719673,98113,7673636859
"232",145719673,97132,629690049
"233",145719673,96161,3033931485
"234",145719673,95199,690359217
"235",145719673,94247,6934556249
"236",145719673,93305,2165210686
"237",145719673,92372,1643558579
"238",145719673,91448,4427122993
"239",145719673,90533,9582851763
"240",145719673,89628,6187023246
"241",145719673,88732,3325153013
"242",145719673,87845,0091901483
"243",145719673,86966,5590982468
"244",145719673,86096,8935072644
"245",145719673,85235,9245721917
"246",145719673,84383,5653264698
"247",145719673,83539,7296732051
"248",145719673,82704,332376473
"249",145719673,81877,2890527083
"250",145719673,81058,5161621812
"251",145719673,80247,9310005594
"252",145719673,79445,4516905538
"253",145719673,78650,9971736483
"254",145719673,77864,4872019118
"255",145719673,77085,8423298927
"256",145719673,76314,9839065938
"257",145719673,75551,8340675278
"258",145719673,74796,3157268525
"259",145719673,74048,352569584
"260",145719673,73307,8690438882
"261",145719673,72574,7903534493
"262",145719673,71849,0424499148
"263",145719673,71130,5520254156
"264",145719673,70419,2465051615
"265",145719673,69715,0540401099
"266",145719673,69017,9034997088
"267",145719673,68327,7244647117
"268",145719673,67644,4472200646
"269",145719673,66968,0027478639
"270",145719673,66298,3227203853
"271",145719673,65635,3394931814
"272",145719673,64978,9860982496
"273",145719673,64329,1962372671
"274",145719673,63685,9042748945
"275",145719673,63049,0452321455
"276",145719673,62418,5547798241
"277",145719673,61794,3692320258
"278",145719673,61176,4255397056
"279",145719673,60564,6612843085
"280",145719673,59959,0146714654
"281",145719673,59359,4245247508
"282",145719673,58765,8302795033
"283",145719673,58178,1719767082
"284",145719673,57596,3902569411
"285",145719673,57020,4263543717
"286",145719673,56450,222090828
"287",145719673,55885,7198699197
"288",145719673,55326,8626712205
"289",145719673,54773,5940445083
"290",145719673,54225,8581040632
"291",145719673,53683,5995230226
"292",145719673,53146,7635277924
"293",145719673,52615,2958925145
"294",145719673,52089,1429335893
"295",145719673,51568,2515042534
"296",145719673,51052,5689892109
"297",145719673,50542,0432993188
"298",145719673,50036,6228663256
"299",145719673,49536,2566376623
"300",145719673,49040,8940712857
"301",145719673,48550,4851305729
"302",145719673,48064,9802792671
"303",145719673,47584,3304764745
"304",145719673,47108,4871717097
"305",145719673,46637,4022999926
"306",145719673,46171,0282769927
"307",145719673,45709,3179942228
"308",145719673,45252,2248142805
"309",145719673,44799,7025661377
"310",145719673,44351,7055404764
"311",145719673,43908,1884850716
"312",145719673,43469,1066002209
"313",145719673,43034,4155342187
"314",145719673,42604,0713788765
"315",145719673,42178,0306650877
"316",145719673,41756,2503584368
"317",145719673,41338,6878548525
"318",145719673,40925,3009763039
"319",145719673,40516,0479665409
"320",145719673,40110,8874868755
