"","bestCostByT","temperatures"
"211",2796537508,154268204,663904
"212",2658980163,152725522,617265
"213",2572055650,151198267,391093
"214",2572055650,149686284,717182
"215",2610459235,148189421,87001
"216",2572055650,146707527,65131
"217",2560620753,145240452,374797
"218",2478325955,143788047,851049
"219",2572055650,142350167,372538
"220",2572055650,140926665,698813
"221",2590451202,139517399,041825
"222",2572055650,138122225,051407
"223",2572055650,136741002,800892
"224",2572055650,135373592,772884
"225",2572055650,134019856,845155
"226",2572055650,132679658,276703
"227",2572055650,131352861,693936
"228",2572055650,130039333,076997
"229",2589993139,128738939,746227
"230",2572055650,127451550,348765
"231",2571676832,126177034,845277
"232",2572055650,124915264,496824
"233",2572055650,123666111,851856
"234",2572055650,122429450,733337
"235",2581061052,121205156,226004
"236",2572055650,119993104,663744
"237",2575975076,118793173,617106
"238",2571792905,117605241,880935
"239",2572055650,116429189,462126
"240",2572055650,115264897,567505
"241",2716916170,114112248,59183
"242",2572055650,112971126,105911
"243",2659107520,111841414,844852
"244",2572055650,110723000,696404
"245",2572055650,109615770,68944
"246",2572055650,108519612,982545
"247",2572055650,107434416,85272
"248",2572055650,106360072,684193
"249",2580740660,105296471,957351
"250",2572055650,104243507,237777
"251",2579416488,103201072,165399
"252",2562483193,102169061,443745
"253",2763698993,101147370,829308
"254",2564499547,100135897,121015
"255",2587669615,99134538,1498047
"256",2409670037,98143192,7683067
"257",2572055650,97161760,8406236
"258",2628830817,96190143,2322174
"259",2632553764,95228241,7998952
"260",2592681965,94275959,3818963
"261",2523196450,93333199,7880773
"262",2607095875,92399867,7901965
"263",2634958741,91475869,1122946
"264",2569808226,90561110,4211716
"265",2521448522,89655499,3169599
"266",2570527854,88758944,3237903
"267",2336532418,87871354,8805524
"268",2572055650,86992641,3317469
"269",2572055650,86122714,9184294
"270",2570509560,85261487,7692451
"271",2572055650,84408872,8915526
"272",2572555447,83564784,1626371
"273",2572055650,82729136,3210107
"274",2572055650,81901844,9578006
"275",2572055650,81082826,5082226
"276",2572055650,80271998,2431404
"277",2572055650,79469278,260709
"278",2572055650,78674585,4781019
"279",2610989692,77887839,6233209
"280",2443365794,77108961,2270877
"281",2561324038,76337871,6148168
"282",1929178742,75574492,8986686
"283",1929178742,74818747,9696819
"284",1929178742,74070560,4899851
"285",1929178742,73329854,8850853
"286",1929178742,72596556,3362344
"287",1929178742,71870590,7728721
"288",1929178742,71151884,8651433
"289",1929178742,70440366,0164919
"290",1929178742,69735962,356327
"291",1929178742,69038602,7327637
"292",1929178742,68348216,7054361
"293",1929178742,67664734,5383817
"294",1929178742,66988087,1929979
"295",1929178742,66318206,3210679
"296",1929178742,65655024,2578572
"297",1929178742,64998474,0152787
"298",1929178742,64348489,2751259
"299",1929178742,63705004,3823746
"300",1929178742,63067954,3385509
"301",1929178742,62437274,7951654
"302",1929178742,61812902,0472137
"303",1929178742,61194773,0267416
"304",1929178742,60582825,2964742
"305",1929178742,59976997,0435094
"306",1929178742,59377227,0730743
"307",1929178742,58783454,8023436
"308",1929178742,58195620,2543201
"309",1929178742,57613664,0517769
"310",1929178742,57037527,4112592
"311",1929178742,56467152,1371466
"312",1929178742,55902480,6157751
"313",1929178742,55343455,8096173
"314",1929178742,54790021,2515212
"315",1929178742,54242121,039006
"316",1929178742,53699699,8286159
"317",1929178742,53162702,8303297
"318",1929178742,52631075,8020265
"319",1929178742,52104765,0440062
"320",1929178742,51583717,3935661
"321",2157732663,51067880,2196305
"322",2157732663,50557201,4174342
"323",2157732663,50051629,4032598
"324",2157732663,49551113,1092272
"325",2157732663,49055601,978135
"326",2157732663,48565045,9583536
"327",2157732663,48079395,4987701
"328",2157732663,47598601,5437824
"329",2157732663,47122615,5283445
"330",2157732663,46651389,3730611
"331",1922811433,46184875,4793305
"332",1922811433,45723026,7245372
"333",1922811433,45265796,4572918
"334",1922811433,44813138,4927189
"335",1922811433,44365007,1077917
"336",1922811433,43921357,0367138
"337",1922811433,43482143,4663466
"338",1922811433,43047322,0316832
"339",1922811433,42616848,8113663
"340",1922811433,42190680,3232527
"341",1922811433,41768773,5200201
"342",1922811433,41351085,7848199
"343",1922811433,40937574,9269717
"344",1922811433,40528199,177702
"345",1922811433,40122917,185925
"346",1922811433,39721688,0140657
"347",1922811433,39324471,1339251
"348",1922811433,38931226,4225858
"349",1922811433,38541914,15836
"350",1922811433,38156495,0167764
"351",1922811433,37774930,0666086
"352",1922811433,37397180,7659425
"353",1922811433,37023208,9582831
"354",1922811433,36652976,8687003
"355",1922811433,36286447,1000133
"356",1922811433,35923582,6290131
"357",1922811433,35564346,802723
"358",1922811433,35208703,3346958
"359",1922811433,34856616,3013488
"360",1922811433,34508050,1383353
"361",1922811433,34162969,636952
"362",1922811433,33821339,9405825
"363",1922811433,33483126,5411766
"364",1922811433,33148295,2757649
"365",1922811433,32816812,3230072
"366",1931362203,32488644,1997771
"367",1931362203,32163757,7577794
"368",1931362203,31842120,1802016
"369",1931362203,31523698,9783996
"370",1931362203,31208461,9886156
"371",1931362203,30896377,3687294
"372",1931362203,30587413,5950421
"373",1931362203,30281539,4590917
"374",1931362203,29978724,0645008
"375",1931362203,29678936,8238558
"376",1931362203,29382147,4556172
"377",1931362203,29088325,981061
"378",1931362203,28797442,7212504
"379",1931362203,28509468,2940379
"380",1931362203,28224373,6110975
"381",1931362203,27942129,8749866
"382",1931362203,27662708,5762367
"383",1931362203,27386081,4904743
"384",1931362203,27112220,6755696
"385",1931362203,26841098,4688139
"386",1931362203,26572687,4841258
"387",1931362203,26306960,6092845
"388",1931362203,26043891,0031917
"389",1931362203,25783452,0931597
"390",1931362203,25525617,5722281
"391",1931362203,25270361,3965059
"392",1931362203,25017657,7825408
"393",1931362203,24767481,2047154
"394",1931362203,24519806,3926682
"395",1931362203,24274608,3287416
"396",1931362203,24031862,2454541
"397",1931362203,23791543,6229996
"398",1931362203,23553628,1867696
"399",1931362203,23318091,9049019
"400",1931362203,23084910,9858529
"401",1931362203,22854061,8759944
"402",1931362203,22625521,2572344
"403",1931362203,22399266,0446621
"404",1931362203,22175273,3842154
"405",1931362203,21953520,6503733
"406",1931362203,21733985,4438696
"407",1931362203,21516645,5894309
"408",1931362203,21301479,1335366
"409",1931362203,21088464,3422012
"410",1931362203,20877579,6987792
"411",1931362203,20668803,9017914
"412",1931362203,20462115,8627735
"413",1931362203,20257494,7041457
"414",1931362203,20054919,7571043
"415",1931362203,19854370,5595332
"416",1931362203,19655826,8539379
"417",1931362203,19459268,5853985
"418",1931362203,19264675,8995445
"419",1931362203,19072029,1405491
"420",1853624253,18881308,8491436
"421",1853624253,18692495,7606522
"422",1853624253,18505570,8030456
"423",1853624253,18320515,0950152
"424",1853624253,18137309,944065
"425",1853624253,17955936,8446244
"426",1853624253,17776377,4761781
"427",1853624253,17598613,7014164
"428",1853624253,17422627,5644022
"429",1853624253,17248401,2887582
"430",1853624253,17075917,2758706
"431",1853624253,16905158,1031119
"432",1853624253,16736106,5220808
"433",1853624253,16568745,45686
"434",1853624253,16403058,0022914
"435",1853624253,16239027,4222684
"436",1853624253,16076637,1480458
"437",1853624253,15915870,7765653
"438",1853624253,15756712,0687996
"439",1853624253,15599144,9481116
"440",1853624253,15443153,4986305
"441",1853624253,15288721,9636442
"442",1853624253,15135834,7440078
"443",1853624253,14984476,3965677
"444",1853624253,14834631,632602
"445",1853624253,14686285,316276
"446",1853624253,14539422,4631132
"447",1853624253,14394028,2384821
"448",1853624253,14250087,9560973
"449",1853624253,14107587,0765363
"450",1853624253,13966511,205771
"451",1853624253,13826846,0937132
"452",1853624253,13688577,6327761
"453",1853624253,13551691,8564483
"454",1853624253,13416174,9378839
"455",1853624253,13282013,188505
"456",1853624253,13149193,05662
"457",1853624253,13017701,1260538
"458",1853624253,12887524,1147932
"459",1853624253,12758648,8736453
"460",1853624253,12631062,3849089
"461",1853624253,12504751,7610598
"462",1853624253,12379704,2434492
"463",1853624253,12255907,2010147
"464",1853624253,12133348,1290045
"465",1853624253,12012014,6477145
"466",1853624253,11891894,5012373
"467",1853624253,11772975,556225
"468",1853624253,11655245,8006627
"469",1853624253,11538693,3426561
"470",1853624253,11423306,4092295
"471",1853624253,11309073,3451372
"472",1853624253,11195982,6116859
"473",1853624253,11084022,785569
"474",1853624253,10973182,5577133
"475",1853624253,10863450,7321362
"476",1853624253,10754816,2248148
"477",1853624253,10647268,0625667
"478",1853624253,10540795,381941
"479",1853624253,10435387,4281216
"480",1853624253,10331033,5538404
"481",1853624253,10227723,218302
"482",1853624253,10125445,986119
"483",1853624253,10024191,5262578
"484",1853624253,9923949,61099519
"485",1853624253,9824710,11488524
"486",1853624253,9726463,01373638
"487",1853624253,9629198,38359902
"488",1853624253,9532906,39976303
"489",1853624253,9437577,3357654
"490",1853624253,9343201,56240775
"491",1853624253,9249769,54678367
"492",1853624253,9157271,85131583
"493",1853624253,9065699,13280267
"494",1853624253,8975042,14147464
"495",1853624253,8885291,7200599
"496",1853624253,8796438,8028593
"497",1853624253,8708474,41483071
"498",1853624253,8621389,6706824
"499",1853624253,8535175,77397558
"500",1853624253,8449824,01623582
"501",1853624253,8365325,77607346
"502",1853624253,8281672,51831273
"503",1853624253,8198855,7931296
"504",1853624253,8116867,2351983
"505",1853624253,8035698,56284632
"506",1853624253,7955341,57721786
"507",1853624253,7875788,16144568
"508",1853624253,7797030,27983122
"509",1853624253,7719059,97703291
"510",1853624253,7641869,37726258
"511",1853624253,7565450,68348995
"512",1853624253,7489796,17665505
"513",1853624253,7414898,2148885
"514",1853624253,7340749,23273962
"515",1853624253,7267341,74041222
"516",1853624253,7194668,3230081
"517",1853624253,7122721,63977802
"518",1853624253,7051494,42338024
"519",1853624253,6980979,47914644
"520",1853624253,6911169,68435497
"521",1853624253,6842057,98751142
"522",1853624253,6773637,40763631
"523",1853624253,6705901,03355995
"524",1853624253,6638842,02322435
"525",1853624253,6572453,6029921
"526",1853624253,6506729,06696218
"527",1853624253,6441661,77629256
"528",1853624253,6377245,15852963
"529",1853624253,6313472,70694434
"530",1853624253,6250337,97987489
"531",1676269061,6187834,60007615
"532",1676269061,6125956,25407538
"533",1676269061,6064696,69153463
"534",1676269061,6004049,72461928
"535",1676269061,5944009,22737309
"536",1676269061,5884569,13509936
"537",1676269061,5825723,44374837
"538",1676269061,5767466,20931088
"539",1676269061,5709791,54721777
"540",1676269061,5652693,6317456
"541",1676269061,5596166,69542814
"542",1676269061,5540205,02847386
"543",1676269061,5484802,97818912
"544",1676269061,5429954,94840723
"545",1676269061,5375655,39892316
"546",1676269061,5321898,84493393
"547",1676269061,5268679,85648459
"548",1676269061,5215993,05791974
"549",1676269061,5163833,12734054
"550",1676269061,5112194,79606714
"551",1676269061,5061072,84810647
"552",1676269061,5010462,1196254
"553",1676269061,4960357,49842915
"554",1676269061,4910753,92344486
"555",1676269061,4861646,38421041
"556",1676269061,4813029,9203683
"557",1676269061,4764899,62116462
"558",1676269061,4717250,62495297
"559",1676269061,4670078,11870344
"560",1676269061,4623377,33751641
"561",1676269061,4577143,56414125
"562",1676269061,4531372,12849983
"563",1676269061,4486058,40721483
"564",1676269061,4441197,82314269
"565",1676269061,4396785,84491126
"566",1676269061,4352817,98646215
"567",1676269061,4309289,80659752
"568",1676269061,4266196,90853155
"569",1676269061,4223534,93944623
"570",1676269061,4181299,59005177
"571",1676269061,4139486,59415125
"572",1676269061,4098091,72820974
"573",1676269061,4057110,81092764
"574",1676269061,4016539,70281837
"575",1676269061,3976374,30579018
"576",1676269061,3936610,56273228
"577",1676269061,3897244,45710496
"578",1676269061,3858272,01253391
"579",1676269061,3819689,29240857
"580",1676269061,3781492,39948448
"581",1676269061,3743677,47548964
"582",1676269061,3706240,70073474
"583",1676269061,3669178,2937274
"584",1676269061,3632486,51079012
"585",1676269061,3596161,64568222
"586",1676269061,3560200,0292254
"587",1676269061,3524598,02893315
"588",1676269061,3489352,04864381
"589",1676269061,3454458,52815738
"590",1676269061,3419913,9428758
"591",1676269061,3385714,80344704
"592",1676269061,3351857,65541257
"593",1676269061,3318339,07885845
"594",1676269061,3285155,68806986
"595",1676269061,3252304,13118916
"596",1676269061,3219781,08987727
"597",1676269061,3187583,2789785
"598",1676269061,3155707,44618871
"599",1676269061,3124150,37172683
"600",1676269061,3092908,86800956
"601",1676269061,3061979,77932946
"602",1676269061,3031359,98153617
"603",1676269061,3001046,38172081
"604",1676269061,2971035,9179036
"605",1676269061,2941325,55872456
"606",1676269061,2911912,30313732
"607",1676269061,2882793,18010594
"608",1676269061,2853965,24830488
"609",1676269061,2825425,59582184
"610",1676269061,2797171,33986362
"611",1676269061,2769199,62646498
"612",1676269061,2741507,63020033
"613",1676269061,2714092,55389833
"614",1676269061,2686951,62835934
"615",1676269061,2660082,11207575
"616",1676269061,2633481,29095499
"617",1676269061,2607146,47804544
"618",1676269061,2581075,01326499
"619",1676269061,2555264,26313234
"620",1676269061,2529711,62050101
"621",1676269061,2504414,504296
"622",1676269061,2479370,35925304
"623",1676269061,2454576,65566051
"624",1676269061,2430030,88910391
"625",1676269061,2405730,58021287
"626",1676269061,2381673,27441074
"627",1676269061,2357856,54166663
"628",1676269061,2334277,97624997
"629",1676269061,2310935,19648747
"630",1676269061,2287825,84452259
"631",1676269061,2264947,58607737
"632",1676269061,2242298,11021659
"633",1676269061,2219875,12911443
"634",1676269061,2197676,37782328
"635",1676269061,2175699,61404505
"636",1676269061,2153942,6179046
"637",1676269061,2132403,19172555
"638",1676269061,2111079,1598083
"639",1676269061,2089968,36821022
"640",1676269061,2069068,68452811
"641",1676269061,2048377,99768283
"642",1676269061,2027894,217706
"643",1676269061,2007615,27552894
"644",1676269061,1987539,12277365
"645",1676269061,1967663,73154592
"646",1676269061,1947987,09423046
"647",1676269061,1928507,22328815
"648",1676269061,1909222,15105527
"649",1676269061,1890129,92954472
"650",1676269061,1871228,63024927
"651",1676269061,1852516,34394678
"652",1676269061,1833991,18050731
"653",1676269061,1815651,26870224
"654",1676269061,1797494,75601522
"655",1676269061,1779519,80845506
"656",1676269061,1761724,61037051
"657",1676269061,1744107,36426681
"658",1676269061,1726666,29062414
"659",1676269061,1709399,6277179
"660",1676269061,1692305,63144072
"661",1676269061,1675382,57512631
"662",1676269061,1658628,74937505
"663",1676269061,1642042,4618813
"664",1676269061,1625622,03726249
"665",1676269061,1609365,81688986
"666",1676269061,1593272,15872096
"667",1676269061,1577339,43713375
"668",1676269061,1561566,04276242
"669",1676269061,1545950,38233479
"670",1676269061,1530490,87851144
"671",1676269061,1515185,96972633
"672",1676269061,1500034,11002907
"673",1676269061,1485033,76892877
"674",1676269061,1470183,43123949
"675",1676269061,1455481,59692709
"676",1676269061,1440926,78095782
"677",1676269061,1426517,51314824
"678",1676269061,1412252,33801676
"679",1676269061,1398129,81463659
"680",1676269061,1384148,51649023
"681",1676269061,1370307,03132532
"682",1676269061,1356603,96101207
"683",1676269061,1343037,92140195
"684",1676269061,1329607,54218793
"685",1676269061,1316311,46676605
"686",1676269061,1303148,35209839
"687",1676269061,1290116,86857741
"688",1676269061,1277215,69989163
"689",1676269061,1264443,54289272
"690",1676269061,1251799,10746379
"691",1676269061,1239281,11638915
"692",1676269061,1226888,30522526
"693",1676269061,1214619,42217301
"694",1676269061,1202473,22795128
"695",1676269061,1190448,49567176
"696",1676269061,1178544,01071505
"697",1676269061,1166758,5706079
"698",1676269061,1155090,98490182
"699",1676269061,1143540,0750528
"700",1676269061,1132104,67430227
"701",1676269061,1120783,62755925
"702",1676269061,1109575,79128366
"703",1676269061,1098480,03337082
"704",1676269061,1087495,23303711
"705",1676269061,1076620,28070674
"706",1676269061,1065854,07789967
"707",1676269061,1055195,53712068
"708",1676269061,1044643,58174947
"709",1676269061,1034197,14593198
"710",1676269061,1023855,17447266
"711",1676269061,1013616,62272793
"712",1676269061,1003480,45650065
"713",1676269061,993445,651935643
"714",1676269061,983511,195416286
"715",1676269061,973676,083462124
"716",1676269061,963939,322627502
"717",1676269061,954299,929401227
"718",1676269061,944756,930107215
"719",1676269061,935309,360806143
"720",1676269061,925956,267198081
"721",1676269061,916696,704526101
"722",1676269061,907529,737480839
"723",1676269061,898454,440106031
"724",1676269061,889469,895704971
"725",1676269061,880575,196747921
"726",1676269061,871769,444780442
"727",1676269061,863051,750332637
"728",1676269061,854421,232829311
"729",1676269061,845877,020501018
"730",1676269061,837418,250296008
"731",1676269061,829044,067793048
"732",1676269061,820753,627115117
"733",1676269061,812546,090843966
"734",1676269061,804420,629935526
"735",1676269061,796376,423636171
"736",1676269061,788412,659399809
"737",1676269061,780528,532805811
"738",1676269061,772723,247477753
"739",1676269061,764996,015002976
"740",1676269061,757346,054852946
"741",1676269061,749772,594304416
"742",1676269061,742274,868361372
"743",1676269061,734852,119677758
"744",1676269061,727503,598480981
"745",1676269061,720228,562496171
"746",1676269061,713026,276871209
"747",1676269061,705896,014102497
"748",1676269061,698837,053961472
"749",1676269061,691848,683421857
"750",1676269061,684930,196587639
"751",1676269061,678080,894621762
"752",1676269061,671300,085675545
"753",1676269061,664587,084818789
"754",1676269061,657941,213970601
"755",1676269061,651361,801830895
"756",1676269061,644848,183812586
"757",1676269061,638399,701974461
"758",1676269061,632015,704954716
"759",1676269061,625695,547905169
"760",1676269061,619438,592426117
"761",1676269061,613244,206501856
"762",1676269061,607111,764436837
"763",1676269061,601040,646792469
"764",1676269061,595030,240324544
"765",1676269061,589079,937921299
"766",1676269061,583189,138542086
"767",1676269061,577357,247156665
