"","bestCostByT","temperatures"
"1",149838835,9e+05
"2",149722765,810000
"3",148701656,729000
"4",150439608,656100
"5",150005047,590490
"6",148108178,531441
"7",148732065,478296,9
"8",148651274,430467,21
"9",147182807,387420,489
"10",147182807,348678,4401
"11",147182807,313810,59609
"12",147182807,282429,536481
"13",147182807,254186,5828329
"14",145700395,228767,92454961
"15",145700395,205891,132094649
"16",145700395,185302,018885184
"17",145700395,166771,816996666
"18",145700395,150094,635296999
"19",145700395,135085,171767299
"20",145700395,121576,654590569
"21",145700395,109418,989131512
"22",145700395,98477,0902183612
"23",145700395,88629,381196525
"24",145700395,79766,4430768725
"25",145700395,71789,7987691853
"26",145700395,64610,8188922668
"27",145700395,58149,7370030401
"28",145700395,52334,7633027361
"29",145700395,47101,2869724625
"30",145700395,42391,1582752162
"31",145700395,38152,0424476946
"32",145700395,34336,8382029251
"33",145700395,30903,1543826326
"34",145700395,27812,8389443694
"35",145700395,25031,5550499324
"36",145700395,22528,3995449392
"37",145700395,20275,5595904453
"38",145700395,18248,0036314007
"39",145700395,16423,2032682607
"40",145700395,14780,8829414346
"41",145700395,13302,7946472911
"42",145700395,11972,515182562
"43",145700395,10775,2636643058
"44",145700395,9697,73729787524
