"","bestCostByT","temperatures"
"1",139505793,65994861,725
"2",140955872,62695118,63875
"3",139056881,59560362,7068125
"4",138952965,56582344,5714719
"5",139115976,53753227,3428983
"6",139990544,51065565,9757534
"7",139374725,48512287,6769657
"8",139999121,46086673,2931174
"9",138952474,43782339,6284615
"10",138996761,41593222,6470384
"11",138959117,39513561,5146865
"12",139799742,37537883,4389522
"13",145304554,35660989,2670046
"14",139635247,33877939,8036544
"15",138382193,32184042,8134716
"16",139173316,30574840,672798
"17",139379866,29046098,6391581
"18",143358898,27593793,7072002
"19",139137704,26214104,0218402
"20",139725632,24903398,8207482
"21",140050131,23658228,8797108
"22",140043459,22475317,4357253
"23",139875017,21351551,563939
"24",139122405,20283973,985742
"25",138953919,19269775,2864549
"26",139080368,18306286,5221322
"27",139519495,17390972,1960256
"28",140377411,16521423,5862243
"29",139018013,15695352,4069131
"30",139171781,14910584,7865674
"31",138851008,14165055,5472391
"32",139527173,13456802,7698771
"33",139425328,12783962,6313832
"34",139438512,12144764,4998141
"35",141385007,11537526,2748234
"36",140114327,10960649,9610822
"37",139456525,10412617,4630281
"38",139505394,9891986,58987669
"39",139277074,9397387,26038286
"40",139463751,8927517,89736371
"41",141111011,8481142,00249553
"42",139576661,8057084,90237075
"43",139249482,7654230,65725221
"44",139335199,7271519,1243896
"45",139321439,6907943,16817012
"46",139731785,6562546,00976162
"47",139215386,6234418,70927353
"48",138926337,5922697,77380986
"49",140140560,5626562,88511936
"50",139199511,5345234,7408634
"51",143862339,5077973,00382023
"52",140603711,4824074,35362921
"53",139980262,4582870,63594775
"54",141604405,4353727,10415037
"55",139398545,4136040,74894285
"56",139792101,3929238,7114957
"57",139202378,3732776,77592092
"58",139389047,3546137,93712487
"59",139060919,3368831,04026863
"60",138942943,3200389,4882552
"61",139193339,3040370,01384244
"62",139003991,2888351,51315031
"63",139054555,2743933,9374928
"64",140820377,2606737,24061816
"65",140028443,2476400,37858725
"66",138604330,2352580,35965789
"67",139217343,2234951,34167499
"68",139122263,2123203,77459124
"69",138984748,2017043,58586168
"70",138963992,1916191,4065686
"71",139031504,1820381,83624017
"72",138977286,1729362,74442816
"73",141175798,1642894,60720675
"74",139520468,1560749,87684641
"75",138988649,1482712,38300409
"76",140222523,1408576,76385389
"77",139090451,1338147,92566119
"78",139575509,1271240,52937813
"79",139152014,1207678,50290923
"80",139458525,1147294,57776377
"81",138965860,1089929,84887558
"82",138945034,1035433,3564318
"83",139096195,983661,688610208
"84",138937115,934478,604179698
"85",139005467,887754,673970713
"86",140049294,843366,940272177
"87",139254503,801198,593258568
"88",139143477,761138,66359564
"89",139090602,723081,730415858
"90",139128847,686927,643895065
"91",139103676,652581,261700312
"92",138946033,619952,198615296
"93",139030957,588954,588684531
"94",138938619,559506,859250305
"95",139273639,531531,516287789
"96",139627524,504954,9404734
"97",139597904,479707,19344973
"98",139134149,455721,833777243
"99",139149117,432935,742088381
"100",138918293,411288,954983962
"101",139316802,390724,507234764
"102",139376499,371188,281873026
"103",138117264,352628,867779374
"104",138117264,334997,424390406
"105",138117264,318247,553170885
"106",138117264,302335,175512341
"107",139329693,287218,416736724
"108",138948050,272857,495899888
"109",139247740,259214,621104893
"110",138246426,246253,890049649
"111",138331242,233941,195547166
"112",139650097,222244,135769808
"113",138929625,211131,928981318
"114",138962981,200575,332532252
"115",139070135,190546,565905639
"116",138989540,181019,237610357
"117",138971311,171968,275729839
"118",138944109,163369,861943347
"119",139112888,155201,36884618
"120",138807626,147441,300403871
"121",138845104,140069,235383677
"122",138941983,133065,773614493
"123",139011235,126412,484933769
"124",139013783,120091,86068708
"125",139059225,114087,267652726
"126",138980474,108382,90427009
"127",138760564,102963,759056585
"128",138938463,97815,5711037562
"129",138962023,92924,7925485684
"130",138441886,88278,55292114
"131",138441886,83864,625275083
"132",138441886,79671,3940113288
"133",138441886,75687,8243107624
"134",138441886,71903,4330952242
"135",138441886,68308,261440463
"136",138441886,64892,8483684399
"137",138441886,61648,2059500179
"138",138441886,58565,795652517
"139",138441886,55637,5058698911
"140",138441886,52855,6305763966
