"","bestCostByT","temperatures"
"1",196594667,46585041.7
"2",196725025,43789939.198
"3",198967801,41162542.84612
"4",197026719,38692790.2753528
"5",199875693,36371222.8588316
"6",196571768,34188949.4873017
"7",197552040,32137612.5180636
"8",196611326,30209355.7669798
"9",196977143,28396794.420961
"10",196587626,26692986.7557033
"11",197133509,25091407.5503611
"12",197480887,23585923.0973395
"13",196973804,22170767.7114991
"14",196804137,20840521.6488091
"15",196977509,19590090.3498806
"16",198470914,18414684.9288878
"17",196472117,17309803.8331545
"18",195423862,16271215.6031652
"19",197474424,15294942.6669753
"20",199914290,14377246.1069568
"21",198301598,13514611.3405394
"22",196623544,12703734.660107
"23",196584531,11941510.5805006
"24",196777342,11225019.9456706
"25",196638933,10551518.7489303
"26",196661648,9918427.62399451
"27",197829829,9323321.96655484
"28",196627933,8763922.64856154
"29",198481576,8238087.28964785
"30",197586546,7743802.05226898
"31",197120155,7279173.92913284
"32",196693549,6842423.49338487
"33",197321060,6431878.08378178
"34",196855231,6045965.39875487
"35",196587626,5683207.47482958
"36",196784610,5342215.0263398
"37",196650013,5021682.12475941
"38",197242524,4720381.19727385
"39",196678785,4437158.32543742
"40",196285712,4170928.82591117
"41",197533982,3920673.0963565
"42",197881167,3685432.71057511
"43",197471264,3464306.7479406
"44",196698401,3256448.34306417
"45",197528497,3061061.44248032
"46",196633984,2877397.7559315
"47",196901904,2704753.89057561
"48",196665842,2542468.65714107
"49",196642982,2389920.53771261
"50",196724985,2246525.30544985
"51",197572793,2111733.78712286
"52",196683042,1985029.75989549
"53",196813337,1865927.97430176
"54",196647617,1753972.29584365
"55",196826756,1648733.95809303
"56",197501547,1549809.92060745
"57",196811084,1456821.325371
"58",196665253,1369412.04584874
"59",196663251,1287247.32309782
"60",196936729,1210012.48371195
"61",196927610,1137411.73468923
"62",196854462,1069167.03060788
"63",196636175,1005017.00877141
"64",196760391,944715.988245122
"65",196638084,888033.028950414
"66",196592606,834751.047213389
"67",196677473,784665.984380586
"68",196273632,737586.025317751
"69",196737254,693330.863798686
"70",198239551,651731.011970764
"71",196617238,612627.151252519
"72",196727452,575869.522177367
"73",196702429,541317.350846725
"74",196887743,508838.309795922
"75",196635424,478308.011208166
"76",196598103,449609.530535676
"77",195941280,422632.958703536
"78",195941280,397274.981181324
"79",195941280,373438.482310444
"80",195833211,351032.173371818
"81",196681229,329970.242969509
"82",195324474,310172.028391338
"83",195324474,291561.706687858
"84",195324474,274068.004286586
"85",195689154,257623.924029391
"86",195689154,242166.488587628
"87",195245240,227636.49927237
"88",195245240,213978.309316028
"89",195245240,201139.610757066
"90",195245240,189071.234111642
"91",195245240,177726.960064944
"92",195245240,167063.342461047
"93",195245240,157039.541913384
"94",195245240,147617.169398581
"95",195245240,138760.139234666
"96",195245240,130434.530880586
"97",195245240,122608.459027751
"98",195245240,115251.951486086
"99",195432672,108336.834396921
"100",195432672,101836.624333106
"101",195432672,95726.4268731192
"102",195432672,89982.841260732
"103",195432672,84583.8707850881
"104",195432672,79508.8385379828
"105",195432672,74738.3082257038
"106",195432672,70254.0097321616
"107",195432672,66038.7691482319
"108",195432672,62076.442999338
"109",195432672,58351.8564193777
"110",195432672,54850.745034215
"111",195432672,51559.7003321621
"112",195432672,48466.1183122324
"113",194609539,45558.1512134985
"114",194609539,42824.6621406885
"115",194609539,40255.1824122472
"116",194609539,37839.8714675124
"117",194609539,35569.4791794617
"118",194609539,33435.310428694
"119",194609539,31429.1918029723
"120",194609539,29543.440294794
"121",194609539,27770.8338771063
"122",194609539,26104.58384448
"123",194609539,24538.3088138112
"124",194609539,23066.0102849825
"125",194609539,21682.0496678835
"126",194609539,20381.1266878105
"127",194609539,19158.2590865419
"128",194609539,18008.7635413494
"129",194609539,16928.2377288684
"130",194609539,15912.5434651363
"131",194609539,14957.7908572281
"132",194609539,14060.3234057944
"133",194609539,13216.7040014468
"134",194609539,12423.70176136
"135",194609539,11678.2796556784
"136",194609539,10977.5828763377
"137",194609539,10318.9279037574
"138",194609539,9699.79222953196
"139",194609539,9117.80469576004
"140",194609539,8570.73641401444
"141",194609539,8056.49222917357
"142",194609539,7573.10269542315
"143",194609539,7118.71653369777
"144",194609539,6691.5935416759
"145",194609539,6290.09792917534
"146",194609539,5912.69205342482
"147",194609539,5557.93053021933
"148",194609539,5224.45469840617
"149",194609539,4910.9874165018
"150",194480759,4616.32817151169
"151",194480759,4339.34848122099
"152",194480759,4078.98757234773
"153",194480759,3834.24831800687
"154",194480759,3604.19341892646
"155",194480759,3387.94181379087
"156",194480759,3184.66530496342
"157",194480759,2993.58538666561
"158",194480759,2813.97026346567
"159",194480759,2645.13204765773
"160",194480759,2486.42412479827
"161",194480759,2337.23867731037
"162",194480759,2197.00435667175
"163",194480759,2065.18409527145
"164",194480759,1941.27304955516
"165",194480759,1824.79666658185
"166",194480759,1715.30886658694
"167",194480759,1612.39033459172
"168",194480759,1515.64691451622
"169",194480759,1424.70809964524
"170",194480759,1339.22561366653
"171",194480759,1258.87207684654
"172",194480759,1183.33975223575
"173",194480759,1112.3393671016
"174",194480759,1045.5990050755
"175",194480759,982.863064770975
