"","bestCostByT","temperatures"
"1",149878384,9e+05
"2",149015748,810000
"3",149594738,729000
"4",148681778,656100
"5",149784853,590490
"6",148981091,531441
"7",148899781,478296,9
"8",148689561,430467,21
"9",148731078,387420,489
"10",147834897,348678,4401
"11",147834897,313810,59609
"12",147834897,282429,536481
"13",147834897,254186,5828329
"14",147834897,228767,92454961
"15",147834897,205891,132094649
"16",147834897,185302,018885184
"17",147834897,166771,816996666
"18",147834897,150094,635296999
"19",147834897,135085,171767299
"20",147834897,121576,654590569
"21",147834897,109418,989131512
"22",147834897,98477,0902183612
"23",147834897,88629,381196525
"24",147834897,79766,4430768725
"25",147834897,71789,7987691853
"26",147834897,64610,8188922668
"27",147024406,58149,7370030401
"28",147024406,52334,7633027361
"29",147024406,47101,2869724625
"30",147024406,42391,1582752162
"31",147024406,38152,0424476946
"32",147024406,34336,8382029251
"33",147024406,30903,1543826326
"34",147024406,27812,8389443694
"35",147024406,25031,5550499324
"36",147024406,22528,3995449392
"37",147024406,20275,5595904453
"38",147024406,18248,0036314007
"39",147024406,16423,2032682607
"40",147024406,14780,8829414346
"41",147024406,13302,7946472911
"42",147024406,11972,515182562
"43",147024406,10775,2636643058
"44",147024406,9697,73729787524
