"","bestCostByT","temperatures"
"1",139024221,62521447,95
"2",140370961,56269303,155
"3",139597678,50642372,8395
"4",140848919,45578135,55555
"5",139492469,41020321,999995
"6",139609082,36918289,7999955
"7",139222042,33226460,819996
"8",139276194,29903814,7379964
"9",139012627,26913433,2641967
"10",138995821,24222089,9377771
"11",139610585,21799880,9439994
"12",139269658,19619892,8495994
"13",138951683,17657903,5646395
"14",140412268,15892113,2081755
"15",139288916,14302901,887358
"16",140480640,12872611,6986222
"17",139023791,11585350,52876
"18",140968276,10426815,475884
"19",139038922,9384133,92829557
"20",140760952,8445720,53546601
"21",139000391,7601148,48191941
"22",138977150,6841033,63372747
"23",138945133,6156930,27035472
"24",139267594,5541237,24331925
"25",139400399,4987113,51898733
"26",138935693,4488402,16708859
"27",138978427,4039561,95037973
"28",139180626,3635605,75534176
"29",139845636,3272045,17980758
"30",140662754,2944840,66182683
"31",140227466,2650356,59564414
"32",139310935,2385320,93607973
"33",138815497,2146788,84247176
"34",139014577,1932109,95822458
"35",138732950,1738898,96240212
"36",139834743,1565009,06616191
"37",139664410,1408508,15954572
"38",139152290,1267657,34359115
"39",139036062,1140891,60923203
"40",138711284,1026802,44830883
"41",139240147,924122,203477947
"42",139273502,831709,983130152
"43",138995617,748538,984817137
"44",139787499,673685,086335423
"45",139146465,606316,577701881
"46",139204762,545684,919931693
"47",138973291,491116,427938524
"48",139269633,442004,785144671
"49",139018421,397804,306630204
"50",138957695,358023,875967184
"51",140007416,322221,488370465
"52",139048067,289999,339533419
"53",138985575,260999,405580077
"54",139038707,234899,465022069
"55",138979214,211409,518519862
"56",139113784,190268,566667876
"57",138942160,171241,710001088
"58",138965491,154117,53900098
"59",139355121,138705,785100882
"60",139093837,124835,206590793
"61",138560429,112351,685931714
"62",138728901,101116,517338543
"63",138281176,91004,8656046884
"64",138281176,81904,3790442196
"65",138281176,73713,9411397977
"66",138281176,66342,5470258179
"67",138330087,59708,2923232361
"68",138330087,53737,4630909125
"69",138330087,48363,7167818212
"70",138330087,43527,3451036391
"71",138330087,39174,6105932752
"72",138330087,35257,1495339477
"73",138330087,31731,4345805529
"74",138330087,28558,2911224976
"75",138330087,25702,4620102479
"76",138306930,23132,2158092231
"77",138306930,20818,9942283008
"78",138306930,18737,0948054707
"79",138306930,16863,3853249236
"80",138306930,15177,0467924313
"81",138238366,13659,3421131881
"82",138238366,12293,4079018693
"83",138238366,11064,0671116824
"84",138238366,9957,66040051415
"85",138238366,8961,89436046274
"86",138238366,8065,70492441646
"87",138238366,7259,13443197482
"88",138238366,6533,22098877734
"89",138166879,5879,8988898996
"90",138166879,5291,90900090964
"91",138166879,4762,71810081868
"92",138166879,4286,44629073681
"93",138166879,3857,80166166313
"94",138166879,3472,02149549682
"95",138166879,3124,81934594714
"96",138166879,2812,33741135242
"97",138166879,2531,10367021718
"98",138166879,2277,99330319546
"99",138166879,2050,19397287592
"100",138166879,1845,17457558832
"101",138166879,1660,65711802949
"102",138166879,1494,59140622654
"103",138166879,1345,13226560389
"104",138166879,1210,6190390435
"105",138166879,1089,55713513915
"106",138166879,980,601421625234
"107",138166879,882,541279462711
"108",138166879,794,28715151644
"109",138166879,714,858436364796
"110",138166879,643,372592728316
"111",138166879,579,035333455485
"112",138166879,521,131800109936
"113",138166879,469,018620098943
"114",138166879,422,116758089048
"115",138166879,379,905082280144
"116",138166879,341,914574052129
"117",138166879,307,723116646916
"118",138166879,276,950804982225
"119",138166879,249,255724484002
"120",138166879,224,330152035602
"121",138166879,201,897136832042
"122",138166879,181,707423148838
"123",138166879,163,536680833954
"124",138166879,147,183012750558
"125",138166879,132,464711475503
"126",138166879,119,218240327952
"127",138166879,107,296416295157
"128",138166879,96,5667746656414
