"","bestCostByT","temperatures"
"1",6440948019,9e+05
"2",6440948019,810000
"3",6440948019,729000
"4",6440948019,656100
"5",6440948019,590490
"6",6440948019,531441
"7",6440948019,478296,9
"8",6408364152,430467,21
"9",6408364152,387420,489
"10",6408364152,348678,4401
"11",6408364152,313810,59609
"12",6408364152,282429,536481
"13",6408364152,254186,5828329
"14",6408364152,228767,92454961
"15",6408364152,205891,132094649
"16",6408364152,185302,018885184
"17",6408364152,166771,816996666
"18",6408364152,150094,635296999
"19",6408364152,135085,171767299
"20",6408364152,121576,654590569
"21",6408364152,109418,989131512
"22",6408364152,98477,0902183612
