"","bestCostByT","temperatures"
"1",143946683,65994861,725
"2",139891274,62695118,63875
"3",139413423,59560362,7068125
"4",139983477,56582344,5714719
"5",140383293,53753227,3428983
"6",138955985,51065565,9757534
"7",143059148,48512287,6769657
"8",139369248,46086673,2931174
"9",141441106,43782339,6284615
"10",139447261,41593222,6470384
"11",139914658,39513561,5146865
"12",142949357,37537883,4389522
"13",138936551,35660989,2670046
"14",139823131,33877939,8036544
"15",139914784,32184042,8134716
"16",140469568,30574840,672798
"17",140780242,29046098,6391581
"18",139411685,27593793,7072002
"19",139267986,26214104,0218402
"20",139012916,24903398,8207482
"21",139956005,23658228,8797108
"22",139497301,22475317,4357253
"23",139732759,21351551,563939
"24",141550967,20283973,985742
"25",139205304,19269775,2864549
"26",139204651,18306286,5221322
"27",140216529,17390972,1960256
"28",139142895,16521423,5862243
"29",139288808,15695352,4069131
"30",138997611,14910584,7865674
"31",139121102,14165055,5472391
"32",139118887,13456802,7698771
"33",141400328,12783962,6313832
"34",139264344,12144764,4998141
"35",139072468,11537526,2748234
"36",139410886,10960649,9610822
"37",139111237,10412617,4630281
"38",139596055,9891986,58987669
"39",140534728,9397387,26038286
"40",140672868,8927517,89736371
"41",139872839,8481142,00249553
"42",138962981,8057084,90237075
"43",141645464,7654230,65725221
"44",138999961,7271519,1243896
"45",139944949,6907943,16817012
"46",140664514,6562546,00976162
"47",139093505,6234418,70927353
"48",139002178,5922697,77380986
"49",139221433,5626562,88511936
"50",139107329,5345234,7408634
"51",138962805,5077973,00382023
"52",139750720,4824074,35362921
"53",139198279,4582870,63594775
"54",139242625,4353727,10415037
"55",139631973,4136040,74894285
"56",139058872,3929238,7114957
"57",138587765,3732776,77592092
"58",139381243,3546137,93712487
"59",139511318,3368831,04026863
"60",139949906,3200389,4882552
"61",139780986,3040370,01384244
"62",138502431,2888351,51315031
"63",139145386,2743933,9374928
"64",140660527,2606737,24061816
"65",139050185,2476400,37858725
"66",138978060,2352580,35965789
"67",139020944,2234951,34167499
"68",139112446,2123203,77459124
"69",138879185,2017043,58586168
"70",138998473,1916191,4065686
"71",139007036,1820381,83624017
"72",138868091,1729362,74442816
"73",138945413,1642894,60720675
"74",138948677,1560749,87684641
"75",139204391,1482712,38300409
"76",139258881,1408576,76385389
"77",139030946,1338147,92566119
"78",139197191,1271240,52937813
"79",138962055,1207678,50290923
"80",139052482,1147294,57776377
"81",138988414,1089929,84887558
"82",140066039,1035433,3564318
"83",139319896,983661,688610208
"84",139279111,934478,604179698
"85",140096847,887754,673970713
"86",138992448,843366,940272177
"87",140578256,801198,593258568
"88",138958959,761138,66359564
"89",139063459,723081,730415858
"90",138195081,686927,643895065
"91",138994111,652581,261700312
"92",139010396,619952,198615296
"93",138950699,588954,588684531
"94",139107617,559506,859250305
"95",138981477,531531,516287789
"96",138989923,504954,9404734
"97",139002921,479707,19344973
"98",139005543,455721,833777243
"99",139312509,432935,742088381
"100",139219519,411288,954983962
"101",139020872,390724,507234764
"102",139658655,371188,281873026
"103",139225563,352628,867779374
"104",138817887,334997,424390406
"105",139448992,318247,553170885
"106",139024942,302335,175512341
"107",138936551,287218,416736724
"108",139002738,272857,495899888
"109",138985633,259214,621104893
"110",139016804,246253,890049649
"111",138326641,233941,195547166
"112",138326641,222244,135769808
"113",138326641,211131,928981318
"114",138326641,200575,332532252
"115",139237051,190546,565905639
"116",139096239,181019,237610357
"117",138886409,171968,275729839
"118",139039409,163369,861943347
"119",139159662,155201,36884618
"120",138522357,147441,300403871
"121",138522357,140069,235383677
"122",138522357,133065,773614493
"123",138522357,126412,484933769
"124",138204643,120091,86068708
"125",138204643,114087,267652726
"126",138204643,108382,90427009
"127",138204643,102963,759056585
"128",138033781,97815,5711037562
"129",138033781,92924,7925485684
"130",138033781,88278,55292114
"131",138033781,83864,625275083
"132",138033781,79671,3940113288
"133",138033781,75687,8243107624
"134",138033781,71903,4330952242
"135",138033781,68308,261440463
"136",138033781,64892,8483684399
"137",138033781,61648,2059500179
"138",138033781,58565,795652517
"139",138033781,55637,5058698911
"140",138033781,52855,6305763966
"141",138033781,50212,8490475767
"142",138033781,47702,2065951979
"143",138033781,45317,096265438
"144",138033781,43051,2414521661
"145",138033781,40898,6793795578
"146",138033781,38853,7454105799
"147",138033781,36911,0581400509
"148",138033781,35065,5052330484
"149",138033781,33312,2299713959
"150",138033781,31646,6184728261
"151",138033781,30064,2875491848
"152",138033781,28561,0731717256
"153",138033781,27133,0195131393
"154",138033781,25776,3685374823
"155",138033781,24487,5501106082
"156",138033781,23263,1726050778
"157",138033781,22100,0139748239
"158",138033781,20995,0132760827
"159",138033781,19945,2626122786
"160",138033781,18947,9994816647
"161",138033781,18000,5995075814
"162",138033781,17100,5695322023
"163",138033781,16245,5410555922
"164",138033781,15433,2640028126
"165",138033781,14661,600802672
