"","bestCostByT","temperatures"
"1",139073208,62521447,95
"2",139074261,56269303,155
"3",139227821,50642372,8395
"4",138961294,45578135,55555
"5",139150830,41020321,999995
"6",140840820,36918289,7999955
"7",140722562,33226460,819996
"8",140393863,29903814,7379964
"9",140507166,26913433,2641967
"10",139188725,24222089,9377771
"11",140876330,21799880,9439994
"12",140257913,19619892,8495994
"13",139398819,17657903,5646395
"14",139019626,15892113,2081755
"15",139021322,14302901,887358
"16",139387465,12872611,6986222
"17",139020938,11585350,52876
"18",138901676,10426815,475884
"19",140669338,9384133,92829557
"20",140131911,8445720,53546601
"21",139025093,7601148,48191941
"22",138600267,6841033,63372747
"23",139286885,6156930,27035472
"24",140211339,5541237,24331925
"25",138984272,4987113,51898733
"26",141356032,4488402,16708859
"27",138985816,4039561,95037973
"28",139201471,3635605,75534176
"29",143397269,3272045,17980758
"30",139171817,2944840,66182683
"31",139452819,2650356,59564414
"32",138991178,2385320,93607973
"33",140339436,2146788,84247176
"34",138159791,1932109,95822458
"35",140205826,1738898,96240212
"36",139535206,1565009,06616191
"37",139028342,1408508,15954572
"38",139286989,1267657,34359115
"39",138955979,1140891,60923203
"40",139969190,1026802,44830883
"41",139564425,924122,203477947
"42",139098008,831709,983130152
"43",138919189,748538,984817137
"44",139449546,673685,086335423
"45",139060158,606316,577701881
"46",138361915,545684,919931693
"47",138692520,491116,427938524
"48",138040707,442004,785144671
"49",138040707,397804,306630204
"50",139008033,358023,875967184
"51",139094507,322221,488370465
"52",139097927,289999,339533419
"53",138956263,260999,405580077
"54",139345752,234899,465022069
"55",139160932,211409,518519862
"56",139068283,190268,566667876
"57",138944227,171241,710001088
"58",139706340,154117,53900098
"59",138703695,138705,785100882
"60",138703695,124835,206590793
"61",138420254,112351,685931714
"62",138420254,101116,517338543
"63",138067119,91004,8656046884
"64",138067119,81904,3790442196
"65",138067119,73713,9411397977
"66",138067119,66342,5470258179
"67",138067119,59708,2923232361
"68",138067119,53737,4630909125
"69",138067119,48363,7167818212
"70",138067119,43527,3451036391
"71",138067119,39174,6105932752
"72",138067119,35257,1495339477
"73",138067119,31731,4345805529
"74",137768859,28558,2911224976
"75",137768859,25702,4620102479
"76",137768859,23132,2158092231
"77",137768859,20818,9942283008
"78",137768859,18737,0948054707
"79",137768859,16863,3853249236
"80",137768859,15177,0467924313
"81",137768859,13659,3421131881
"82",137768859,12293,4079018693
"83",137768859,11064,0671116824
"84",137768859,9957,66040051415
"85",137768859,8961,89436046274
"86",137768859,8065,70492441646
"87",137768859,7259,13443197482
"88",137768859,6533,22098877734
"89",137768859,5879,8988898996
"90",137768859,5291,90900090964
"91",137768859,4762,71810081868
"92",137768859,4286,44629073681
"93",137768859,3857,80166166313
"94",137768859,3472,02149549682
"95",137768859,3124,81934594714
"96",137768859,2812,33741135242
"97",137768859,2531,10367021718
"98",137768859,2277,99330319546
"99",137768859,2050,19397287592
"100",137768859,1845,17457558832
"101",137768859,1660,65711802949
"102",137768859,1494,59140622654
"103",137768859,1345,13226560389
"104",137768859,1210,6190390435
"105",137768859,1089,55713513915
"106",137768859,980,601421625234
