"","bestCostByT","temperatures"
"1",2572055650,2546335093,5
"2",2572055650,2520871742,565
"3",2594350525,2495663025,13935
"4",2847064703,2470706394,88796
"5",2531610892,2445999330,93908
"6",2644724456,2421539337,62969
"7",2572055650,2397323944,25339
"8",2572055650,2373350704,81085
"9",2572275008,2349617197,76275
"10",2572055650,2326121025,78512
"11",2573614907,2302859815,52727
"12",2572055650,2279831217,372
"13",2579510668,2257032905,19828
"14",2525389811,2234462576,14629
"15",2644698018,2212117950,38483
"16",2572055650,2189996770,88098
"17",2781530523,2168096803,17217
"18",2572055650,2146415835,14045
"19",2572055650,2124951676,78904
"20",2572055650,2103702160,02115
"21",2572083407,2082665138,42094
"22",2572055650,2061838487,03673
"23",2572055650,2041220102,16637
"24",2568031735,2020807901,1447
"25",2594324613,2000599822,13326
"26",2622426895,1980593823,91192
"27",2716648148,1960787885,6728
"28",2572055650,1941180006,81608
"29",2593709463,1921768206,74791
"30",2606931302,1902550524,68044
"31",2572055650,1883525019,43363
"32",2609186828,1864689769,23929
"33",2572055650,1846042871,5469
"34",2588830994,1827582442,83143
"35",2654928710,1809306618,40312
"36",2572055650,1791213552,21909
"37",2574909027,1773301416,6969
"38",2575216615,1755568402,52993
"39",2572055650,1738012718,50463
"40",2572055650,1720632591,31958
"41",2572055650,1703426265,40639
"42",2808748480,1686392002,75232
"43",2599845310,1669528082,7248
"44",2572055650,1652832801,89755
"45",2573949409,1636304473,87857
"46",2516821684,1619941429,13979
"47",3166496026,1603742014,84839
"48",2709049553,1587704594,69991
"49",2572172470,1571827548,75291
"50",2572055650,1556109273,26538
"51",2598939895,1540548180,53273
"52",2572055650,1525142698,7274
"53",2546226127,1509891271,74012
"54",2572055650,1494792359,02272
"55",2572055650,1479844435,4325
"56",2572055650,1465045991,07817
"57",2719493017,1450395531,16739
"58",2595248759,1435891575,85572
"59",2921664566,1421532660,09716
"60",2300006412,1407317333,49619
"61",2579153007,1393244160,16122
"62",2572055650,1379311718,55961
"63",2572055650,1365518601,37402
"64",2572055650,1351863415,36028
"65",2572055650,1338344781,20667
"66",2675459031,1324961333,39461
"67",2628732409,1311711720,06066
"68",2582869186,1298594602,86005
"69",2723401284,1285608656,83145
"70",2949218051,1272752570,26314
"71",2577212857,1260025044,56051
"72",2592955639,1247424794,1149
"73",2572055650,1234950546,17375
"74",2572055650,1222601040,71202
"75",2757422379,1210375030,3049
"76",2572055650,1198271280,00185
"77",2572055650,1186288567,20183
"78",2572055650,1174425681,52981
"79",2629562699,1162681424,71451
"80",2613350635,1151054610,46737
"81",2693784997,1139544064,36269
"82",1771809748,1128148623,71907
"83",2572055650,1116867137,48188
"84",2572055650,1105698466,10706
"85",2572055650,1094641481,44599
"86",2584643905,1083695066,63153
"87",2572055650,1072858115,96521
"88",2559881320,1062129534,80556
"89",2572055650,1051508239,4575
"90",2572055650,1040993157,06293
"91",2654467796,1030583225,4923
"92",2572055650,1020277393,23738
"93",2572055650,1010074619,305
"94",2572055650,999973873,111952
"95",2572077758,989974134,380832
"96",2572055650,980074393,037024
"97",2613149819,970273649,106654
"98",2662717584,960570912,615587
"99",2810117792,950965203,489432
"100",2572055650,941455551,454537
"101",2735855028,932040995,939992
"102",2682388011,922720585,980592
"103",2599892498,913493380,120786
"104",2638897153,904358446,319578
"105",2613532955,895314861,856382
"106",2572055650,886361713,237818
"107",2572055650,877498096,10544
"108",2594030753,868723115,144386
"109",2572055650,860035883,992942
"110",3360151887,851435525,153013
"111",1881300448,842921169,901482
"112",2572055650,834491958,202468
"113",2611036850,826147038,620443
"114",2572055650,817885568,234238
"115",2152189618,809706712,551896
"116",2572055650,801609645,426377
"117",2572055650,793593548,972113
"118",2572055650,785657613,482392
"119",2975059886,777801037,347568
"120",2898986858,770023026,974092
"121",2724980022,762322796,704352
"122",2586553952,754699568,737308
"123",2583185124,747152573,049935
"124",2572055650,739681047,319436
"125",2572055650,732284236,846241
"126",2572055650,724961394,477779
"127",2572055650,717711780,533001
"128",2572055650,710534662,727671
"129",2572055650,703429316,100394
"130",2572055650,696395022,93939
"131",2572055650,689431072,709996
"132",2572055650,682536761,982896
"133",2572055650,675711394,363067
"134",2618844341,668954280,419437
"135",2572055650,662264737,615242
"136",2596301063,655642090,23909
"137",2563710756,649085669,336699
"138",2572055650,642594812,643332
"139",2572055650,636168864,516899
"140",2660568206,629807175,87173
"141",2612482149,623509104,113012
"142",2572055650,617274013,071882
"143",2387343675,611101272,941163
"144",2587232609,604990260,211752
"145",2572055650,598940357,609634
"146",2613974091,592950954,033538
"147",2572055650,587021444,493202
"148",2574834246,581151230,04827
"149",2459303274,575339717,747788
"150",2719880171,569586320,57031
"151",2497439063,563890457,364607
"152",2597593523,558251552,790961
"153",2811040940,552669037,263051
"154",2506946061,547142346,890421
"155",2591051030,541670923,421516
"156",2615258786,536254214,187301
"157",2564715577,530891672,045428
"158",2622176918,525582755,324974
"159",2539855765,520326927,771724
"160",2572055650,515123658,494007
"161",2572055650,509972421,909067
"162",2572055650,504872697,689976
"163",2646466020,499823970,713076
"164",2572055650,494825731,005946
"165",2572055650,489877473,695886
"166",2572055650,484978698,958927
"167",2572035592,480128911,969338
"168",2671354759,475327622,849645
"169",2577042725,470574346,621148
"170",2576839986,465868603,154937
"171",2571844656,461209917,123387
"172",2576225893,456597817,952153
"173",2572055650,452031839,772632
"174",2572055650,447511521,374906
"175",2566933034,443036406,161156
"176",2572055650,438606042,099545
"177",2717166103,434219981,678549
"178",2583069618,429877781,861764
"179",2572055650,425579004,043146
"180",2572055650,421323214,002715
"181",2572055650,417109981,862688
"182",1560483806,412938882,044061
"183",1560483806,408809493,22362
"184",1560483806,404721398,291384
"185",1560483806,400674184,30847
"186",1560483806,396667442,465385
"187",1560483806,392700768,040732
"188",1560483806,388773760,360324
"189",1560483806,384886022,756721
"190",1560483806,381037162,529154
"191",2575965651,377226790,903862
"192",2715943405,373454522,994824
"193",2572055650,369719977,764875
"194",2577312300,366022777,987227
"195",2572055650,362362550,207354
"196",2572055650,358738924,705281
"197",2572055650,355151535,458228
"198",2572055650,351600020,103646
"199",2620168838,348084019,902609
"200",2572055650,344603179,703583
"201",2603244409,341157147,906547
"202",2596747154,337745576,427482
"203",2572055650,334368120,663207
"204",2637062329,331024439,456575
"205",2584613846,327714195,062009
"206",2571837849,324437053,111389
"207",2594295717,321192682,580275
"208",2572055650,317980755,754472
"209",2662662423,314800948,196928
"210",2572055650,311652938,714958
"211",2572055650,308536409,327809
"212",2572055650,305451045,234531
"213",2572055650,302396534,782185
