"","bestCostByT","temperatures"
"1",141774155,62521447,95
"2",139202508,56269303,155
"3",140725979,50642372,8395
"4",140238493,45578135,55555
"5",138980498,41020321,999995
"6",139470545,36918289,7999955
"7",139668397,33226460,819996
"8",138538738,29903814,7379964
"9",139196897,26913433,2641967
"10",139825702,24222089,9377771
"11",139047970,21799880,9439994
"12",139552230,19619892,8495994
"13",139515010,17657903,5646395
"14",139364941,15892113,2081755
"15",139546345,14302901,887358
"16",139172574,12872611,6986222
"17",139697445,11585350,52876
"18",143742505,10426815,475884
"19",140662739,9384133,92829557
"20",139364339,8445720,53546601
"21",140008676,7601148,48191941
"22",139034467,6841033,63372747
"23",138748013,6156930,27035472
"24",139053732,5541237,24331925
"25",144118796,4987113,51898733
"26",140049210,4488402,16708859
"27",138947368,4039561,95037973
"28",139163842,3635605,75534176
"29",138943128,3272045,17980758
"30",138971513,2944840,66182683
"31",139263424,2650356,59564414
"32",139041576,2385320,93607973
"33",138891253,2146788,84247176
"34",138946721,1932109,95822458
"35",139338103,1738898,96240212
"36",139265351,1565009,06616191
"37",138938219,1408508,15954572
"38",139027691,1267657,34359115
"39",139602332,1140891,60923203
"40",139349183,1026802,44830883
"41",139329809,924122,203477947
"42",139053491,831709,983130152
"43",140504395,748538,984817137
"44",140056006,673685,086335423
"45",139180748,606316,577701881
"46",138960034,545684,919931693
"47",139541935,491116,427938524
"48",138972281,442004,785144671
"49",139069286,397804,306630204
"50",139250313,358023,875967184
"51",138954628,322221,488370465
"52",139126391,289999,339533419
"53",138965909,260999,405580077
"54",139348946,234899,465022069
"55",138943223,211409,518519862
"56",139110788,190268,566667876
"57",138565899,171241,710001088
"58",138565899,154117,53900098
"59",138324928,138705,785100882
"60",138324928,124835,206590793
"61",138324928,112351,685931714
"62",138324928,101116,517338543
"63",138324928,91004,8656046884
"64",138324928,81904,3790442196
"65",138324928,73713,9411397977
"66",138324928,66342,5470258179
"67",138324928,59708,2923232361
"68",138324928,53737,4630909125
"69",138324928,48363,7167818212
"70",138324928,43527,3451036391
"71",138324928,39174,6105932752
"72",138324928,35257,1495339477
"73",138324928,31731,4345805529
"74",138324928,28558,2911224976
"75",138324928,25702,4620102479
"76",138324928,23132,2158092231
"77",138324928,20818,9942283008
"78",138324928,18737,0948054707
"79",138324928,16863,3853249236
"80",138324928,15177,0467924313
"81",138324928,13659,3421131881
"82",138324928,12293,4079018693
"83",138324928,11064,0671116824
"84",138324928,9957,66040051415
