"","costs","x"
"1",196587626,1
"2",196222062,2
"3",197024886,3
"4",197024886,4
"5",198285553,5
"6",196379297,6
"7",196379297,7
"8",196675491,8
"9",196620986,9
"10",197145763,10
"11",197145763,11
"12",196645202,12
"13",196645202,13
"14",196649104,14
"15",196649104,15
"16",196649104,16
"17",195390429,17
"18",195390429,18
"19",195390429,19
"20",195390429,20
"21",195390429,21
"22",195390429,22
"23",195390429,23
"24",196373949,24
"25",196373949,25
"26",196373949,26
"27",196373949,27
"28",197210902,28
"29",197210902,29
"30",197077694,30
"31",197198985,31
"32",197198985,32
"33",197198985,33
"34",197131615,34
"35",197131615,35
"36",197131615,36
"37",196684681,37
"38",196684681,38
"39",196865567,39
"40",196600185,40
"41",196781875,41
"42",196781875,42
"43",197261899,43
"44",196748208,44
"45",199674150,45
"46",199674150,46
"47",196979983,47
"48",196979983,48
"49",196753009,49
"50",196844460,50
"51",197078394,51
"52",196953551,52
"53",196873879,53
"54",196873879,54
"55",196994928,55
"56",196994928,56
"57",196745364,57
"58",197385366,58
"59",197385366,59
"60",197385366,60
"61",196675971,61
"62",196624115,62
"63",196624115,63
"64",196658041,64
"65",196658041,65
"66",197357386,66
"67",197357386,67
"68",196807527,68
"69",196807527,69
"70",196484527,70
"71",196484527,71
"72",196484527,72
"73",197272255,73
"74",197272255,74
"75",198758295,75
"76",196619133,76
"77",196629950,77
"78",196247411,78
"79",197088166,79
"80",197088166,80
"81",197088166,81
"82",197088166,82
"83",196621274,83
"84",196621274,84
"85",196759164,85
"86",196788051,86
"87",196056728,87
"88",196056728,88
"89",196056728,89
"90",196056728,90
"91",196056728,91
"92",196056728,92
"93",196056728,93
"94",196056728,94
"95",196056728,95
"96",196056728,96
"97",196056728,97
"98",196560799,98
"99",196560799,99
"100",196898786,100
"101",196898786,101
"102",196591592,102
"103",197128395,103
"104",197128395,104
"105",196787715,105
"106",197402654,106
"107",196811317,107
"108",195151570,108
"109",195151570,109
"110",195151570,110
"111",195151570,111
"112",195151570,112
"113",195151570,113
"114",196814645,114
"115",196814645,115
"116",196645934,116
"117",196383978,117
"118",196383978,118
"119",196383978,119
"120",196528612,120
"121",196528612,121
"122",196536066,122
"123",196705916,123
"124",196754158,124
"125",197211031,125
