# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      127.941     1366.254
       1.001      100.900      162.105     1400.391
       2.003       99.900      159.977     1400.391
       3.004       99.900      158.832     1400.391
       4.006      100.900      159.391     1400.391
       5.007       99.900      156.137     1400.391
       6.009       99.800      139.809     1382.078
       7.010       99.900      159.613     1400.391
