,setting,time_mean,time_min,time_max,time_sd,time_median,cost_mean,cost_min,cost_max,cost_sd,cost_median,Vecindad
230,2.0 49558555.0 100000.0 25.0 0.79,57.80525864124298,44.523654460907004,67.305380821228,5.836413774547169,59.7900516986847,147001954.6,145424062.0,148759948.0,1091036.2994639173,146990674.0,Algoritmo 2
231,2.0 49558555.0 100000.0 25.0 0.84,76.6827514410019,59.904311180114696,90.1287734508514,7.837790508690852,79.21477365493774,147019547.5,145438458.0,148748853.0,928484.2101001152,147006196.0,Algoritmo 2
232,2.0 49558555.0 100000.0 25.0 0.89,114.58154797554016,87.89489150047301,132.84532284736602,12.103288630035928,118.58206176757801,146489722.02,145436623.0,148642989.0,916841.0992893934,146303342.0,Algoritmo 2
233,2.0 49558555.0 100000.0 25.0 0.94,213.5599539613724,165.126067399979,248.817713499069,22.038702377178844,221.99415576458,146149822.42,145436623.0,148279901.0,785482.1895854564,145863418.0,Algoritmo 2
234,2.0 49558555.0 100000.0 25.0 0.99,1297.0489784288404,1110.3577246666,1532.47418212891,115.03193898890294,1308.8429299592951,145583376.86,145400229.0,146364272.0,183934.2461264972,145542843.5,Algoritmo 2
235,2.0 49558555.0 100000.0 30.0 0.79,69.18250057697296,53.769575357437105,80.76801848411559,7.050530489691223,71.6578494310379,146830348.44,145430635.0,148748975.0,1041172.6809958119,146930148.0,Algoritmo 2
236,2.0 49558555.0 100000.0 30.0 0.84,91.71753196239472,71.2264704704285,106.170301437378,9.541993418481276,95.06389105319974,146623088.72,145418434.0,148736418.0,982935.8457748417,146282649.5,Algoritmo 2
237,2.0 49558555.0 100000.0 30.0 0.89,137.29020980358123,105.42418432235701,157.261229515076,14.27244660771761,142.204409837723,146282990.66,145406167.0,148741268.0,814729.0523061629,145989781.5,Algoritmo 2
238,2.0 49558555.0 100000.0 30.0 0.94,257.97062677860254,197.89726877212502,298.849960565567,26.080924453943517,270.653895378113,146089911.1,145412205.0,147863185.0,622256.394966893,145918966.5,Algoritmo 2
239,2.0 49558555.0 100000.0 30.0 0.99,1533.285489935875,1322.00954294205,1836.0603933334398,141.18949307668458,1552.4154795408201,145588101.62,145098589.0,146686110.0,244902.9810624216,145545018.0,Algoritmo 2
