"nodes";"arcs";"algorithm";"t0";"tf";"it";"lambda";"cost";"total_time"
"300";"6320";"2";"14867566.5";"1000";"15";"0.79";"145591559";"56.2975344657898"
"300";"6320";"2";"49558555";"1000";"15";"0.79";"146952807";"62.8268783092499"
"300";"6320";"2";"14867566.5";"10000";"15";"0.79";"146519860";"42.4083302021027"
"300";"6320";"2";"49558555";"10000";"15";"0.79";"148023156";"50.5669014453888"
"300";"6320";"2";"14867566.5";"1e+05";"15";"0.79";"147959459";"30.0564320087433"
"300";"6320";"2";"49558555";"1e+05";"15";"0.79";"146057707";"36.9284150600433"
"300";"6320";"2";"14867566.5";"1000";"20";"0.79";"147479128";"74.8787875175476"
"300";"6320";"2";"49558555";"1000";"20";"0.79";"145424588";"84.1267054080963"
"300";"6320";"2";"14867566.5";"10000";"20";"0.79";"148040707";"56.6041879653931"
"300";"6320";"2";"49558555";"10000";"20";"0.79";"147296441";"67.3448305130005"
"300";"6320";"2";"14867566.5";"1e+05";"20";"0.79";"148347561";"40.3456766605377"
"300";"6320";"2";"49558555";"1e+05";"20";"0.79";"145762053";"49.4958028793335"
"300";"6320";"2";"14867566.5";"1000";"25";"0.79";"146414105";"93.4136219024658"
"300";"6320";"2";"49558555";"1000";"25";"0.79";"145651816";"104.991702795029"
"300";"6320";"2";"14867566.5";"10000";"25";"0.79";"147278604";"70.7947916984558"
"300";"6320";"2";"49558555";"10000";"25";"0.79";"145721131";"84.525120973587"
"300";"6320";"2";"14867566.5";"1e+05";"25";"0.79";"147747185";"50.262054681778"
"300";"6320";"2";"49558555";"1e+05";"25";"0.79";"147400223";"61.6622774600983"
"300";"6320";"2";"14867566.5";"1000";"30";"0.79";"146144004";"112.525297880173"
"300";"6320";"2";"49558555";"1000";"30";"0.79";"145814490";"126.131942033768"
"300";"6320";"2";"14867566.5";"10000";"30";"0.79";"146008021";"85.0479111671448"
"300";"6320";"2";"49558555";"10000";"30";"0.79";"145561880";"101.252048015594"
"300";"6320";"2";"14867566.5";"1e+05";"30";"0.79";"147049830";"60.4655039310455"
"300";"6320";"2";"49558555";"1e+05";"30";"0.79";"147872302";"73.9963376522064"
"300";"6320";"2";"14867566.5";"1000";"15";"0.84";"145989895";"76.8755629062653"
"300";"6320";"2";"49558555";"1000";"15";"0.84";"145412671";"86.1763293743134"
"300";"6320";"2";"14867566.5";"10000";"15";"0.84";"145833216";"57.3345229625702"
"300";"6320";"2";"49558555";"10000";"15";"0.84";"148064231";"67.0873799324036"
"300";"6320";"2";"14867566.5";"1e+05";"15";"0.84";"145885166";"39.7703325748444"
"300";"6320";"2";"49558555";"1e+05";"15";"0.84";"146825841";"49.6112515926361"
"300";"6320";"2";"14867566.5";"1000";"20";"0.84";"145447783";"102.057505607605"
"300";"6320";"2";"49558555";"1000";"20";"0.84";"146973515";"114.911232233047"
"300";"6320";"2";"14867566.5";"10000";"20";"0.84";"146313671";"76.5961585044861"
"300";"6320";"2";"49558555";"10000";"20";"0.84";"147359947";"89.6540825366974"
"300";"6320";"2";"14867566.5";"1e+05";"20";"0.84";"145878047";"53.0647883415222"
"300";"6320";"2";"49558555";"1e+05";"20";"0.84";"148398361";"65.8807842731476"
"300";"6320";"2";"14867566.5";"1000";"25";"0.84";"145524835";"128.274288654327"
"300";"6320";"2";"49558555";"1000";"25";"0.84";"145699547";"144.044886827469"
"300";"6320";"2";"14867566.5";"10000";"25";"0.84";"146837726";"96.2914009094238"
"300";"6320";"2";"49558555";"10000";"25";"0.84";"148119129";"111.831540822983"
"300";"6320";"2";"14867566.5";"1e+05";"25";"0.84";"146507423";"66.0166709423065"
"300";"6320";"2";"49558555";"1e+05";"25";"0.84";"148583197";"82.2365758419037"
"300";"6320";"2";"14867566.5";"1000";"30";"0.84";"146419056";"153.661192655563"
"300";"6320";"2";"49558555";"1000";"30";"0.84";"145793584";"172.862607240677"
"300";"6320";"2";"14867566.5";"10000";"30";"0.84";"145502337";"115.18171453476"
"300";"6320";"2";"49558555";"10000";"30";"0.84";"146254910";"134.444631576538"
"300";"6320";"2";"14867566.5";"1e+05";"30";"0.84";"148133833";"79.6045641899109"
"300";"6320";"2";"49558555";"1e+05";"30";"0.84";"146279204";"98.6580181121826"
"300";"6320";"2";"14867566.5";"1000";"15";"0.89";"145990882";"113.874634742737"
"300";"6320";"2";"49558555";"1000";"15";"0.89";"147168820";"127.190988302231"
"300";"6320";"2";"14867566.5";"10000";"15";"0.89";"146279729";"86.0806579589844"
"300";"6320";"2";"49558555";"10000";"15";"0.89";"145950558";"101.24396944046"
"300";"6320";"2";"14867566.5";"1e+05";"15";"0.89";"148407189";"58.8709139823914"
"300";"6320";"2";"49558555";"1e+05";"15";"0.89";"145570917";"73.7324104309082"
"300";"6320";"2";"14867566.5";"1000";"20";"0.89";"146201312";"151.557287693024"
"300";"6320";"2";"49558555";"1000";"20";"0.89";"147145481";"169.856235742569"
"300";"6320";"2";"14867566.5";"10000";"20";"0.89";"147872742";"115.239148616791"
"300";"6320";"2";"49558555";"10000";"20";"0.89";"145600495";"134.939511060715"
"300";"6320";"2";"14867566.5";"1e+05";"20";"0.89";"146099977";"78.5984432697296"
"300";"6320";"2";"49558555";"1e+05";"20";"0.89";"147354782";"98.5108878612518"
"300";"6320";"2";"14867566.5";"1000";"25";"0.89";"145461253";"189.468400239944"
"300";"6320";"2";"49558555";"1000";"25";"0.89";"145829657";"212.198099851608"
"300";"6320";"2";"14867566.5";"10000";"25";"0.89";"145628686";"143.755368709564"
"300";"6320";"2";"49558555";"10000";"25";"0.89";"145917249";"168.635830163956"
"300";"6320";"2";"14867566.5";"1e+05";"25";"0.89";"147511342";"98.0072584152222"
"300";"6320";"2";"49558555";"1e+05";"25";"0.89";"145441670";"123.356996536255"
"300";"6320";"2";"14867566.5";"1000";"30";"0.89";"145455053";"227.424045324326"
"300";"6320";"2";"49558555";"1000";"30";"0.89";"146547976";"254.626379013062"
"300";"6320";"2";"14867566.5";"10000";"30";"0.89";"145400229";"172.30094408989"
"300";"6320";"2";"49558555";"10000";"30";"0.89";"146776983";"202.58230638504"
"300";"6320";"2";"14867566.5";"1e+05";"30";"0.89";"146735769";"117.441821098328"
"300";"6320";"2";"49558555";"1e+05";"30";"0.89";"145455133";"147.96053814888"
"300";"6320";"2";"14867566.5";"1000";"15";"0.94";"145592804";"213.67596912384"
"300";"6320";"2";"49558555";"1000";"15";"0.94";"145466388";"239.233562707901"
"300";"6320";"2";"14867566.5";"10000";"15";"0.94";"146279688";"162.933347463608"
"300";"6320";"2";"49558555";"10000";"15";"0.94";"145535635";"189.141243457794"
"300";"6320";"2";"14867566.5";"1e+05";"15";"0.94";"146299440";"110.74779510498"
"300";"6320";"2";"49558555";"1e+05";"15";"0.94";"147688092";"138.362475395203"
"300";"6320";"2";"14867566.5";"1000";"20";"0.94";"145688178";"284.946424484253"
"300";"6320";"2";"49558555";"1000";"20";"0.94";"145693616";"319.130734920502"
"300";"6320";"2";"14867566.5";"10000";"20";"0.94";"145736014";"217.345451593399"
"300";"6320";"2";"49558555";"10000";"20";"0.94";"145886816";"252.294924974442"
"300";"6320";"2";"14867566.5";"1e+05";"20";"0.94";"147518214";"147.937423229218"
"300";"6320";"2";"49558555";"1e+05";"20";"0.94";"146136273";"184.358667135239"
