"nodes";"arcs";"algorithm";"t0";"tf";"it";"lambda";"cost";"total_time"
"300";"6320";"2";"14867566.5";"1000";"15";"0.79";"145782771";"56.5397155284882"
"300";"6320";"2";"49558555";"1000";"15";"0.79";"147432814";"62.8660862445831"
"300";"6320";"2";"14867566.5";"10000";"15";"0.79";"147408588";"42.3952763080597"
"300";"6320";"2";"49558555";"10000";"15";"0.79";"145669237";"50.7715120315552"
"300";"6320";"2";"14867566.5";"1e+05";"15";"0.79";"147566488";"30.232515335083"
"300";"6320";"2";"49558555";"1e+05";"15";"0.79";"148767201";"37.0485148429871"
"300";"6320";"2";"14867566.5";"1000";"20";"0.79";"145849663";"75.1481306552887"
"300";"6320";"2";"49558555";"1000";"20";"0.79";"145904078";"84.401015996933"
"300";"6320";"2";"14867566.5";"10000";"20";"0.79";"146520282";"56.8434853553772"
"300";"6320";"2";"49558555";"10000";"20";"0.79";"145537064";"67.719838142395"
"300";"6320";"2";"14867566.5";"1e+05";"20";"0.79";"145429659";"40.0521335601807"
"300";"6320";"2";"49558555";"1e+05";"20";"0.79";"146395201";"49.5137791633606"
"300";"6320";"2";"14867566.5";"1000";"25";"0.79";"146578984";"93.9331347942352"
"300";"6320";"2";"49558555";"1000";"25";"0.79";"145586101";"105.42590212822"
"300";"6320";"2";"14867566.5";"10000";"25";"0.79";"147419315";"70.8503541946411"
"300";"6320";"2";"49558555";"10000";"25";"0.79";"146882275";"84.5403270721436"
"300";"6320";"2";"14867566.5";"1e+05";"25";"0.79";"146686960";"50.4563779830933"
"300";"6320";"2";"49558555";"1e+05";"25";"0.79";"145979879";"61.5723392963409"
"300";"6320";"2";"14867566.5";"1000";"30";"0.79";"145524994";"112.652059316635"
"300";"6320";"2";"49558555";"1000";"30";"0.79";"145783923";"126.446542024612"
"300";"6320";"2";"14867566.5";"10000";"30";"0.79";"145767009";"85.5074105262756"
"300";"6320";"2";"49558555";"10000";"30";"0.79";"145950220";"101.543407917023"
"300";"6320";"2";"14867566.5";"1e+05";"30";"0.79";"148333539";"60.5098068714142"
"300";"6320";"2";"49558555";"1e+05";"30";"0.79";"147075148";"74.0533287525177"
"300";"6320";"2";"14867566.5";"1000";"15";"0.84";"145933576";"76.9936158657074"
"300";"6320";"2";"49558555";"1000";"15";"0.84";"147456074";"86.7069475650787"
"300";"6320";"2";"14867566.5";"10000";"15";"0.84";"147709285";"57.8198935985565"
"300";"6320";"2";"49558555";"10000";"15";"0.84";"145511937";"67.2521698474884"
"300";"6320";"2";"14867566.5";"1e+05";"15";"0.84";"147142025";"39.8891863822937"
"300";"6320";"2";"49558555";"1e+05";"15";"0.84";"146197752";"49.3921525478363"
"300";"6320";"2";"14867566.5";"1000";"20";"0.84";"147159903";"102.725697278976"
"300";"6320";"2";"49558555";"1000";"20";"0.84";"145698447";"115.326231718063"
"300";"6320";"2";"14867566.5";"10000";"20";"0.84";"145819412";"76.8571999073029"
"300";"6320";"2";"49558555";"10000";"20";"0.84";"148312337";"89.9489088058472"
"300";"6320";"2";"14867566.5";"1e+05";"20";"0.84";"145946749";"53.0635335445404"
"300";"6320";"2";"49558555";"1e+05";"20";"0.84";"145936268";"65.9220697879791"
"300";"6320";"2";"14867566.5";"1000";"25";"0.84";"145855117";"128.436414480209"
"300";"6320";"2";"49558555";"1000";"25";"0.84";"145763747";"144.220485210419"
"300";"6320";"2";"14867566.5";"10000";"25";"0.84";"145527717";"96.3544125556946"
"300";"6320";"2";"49558555";"10000";"25";"0.84";"147349359";"112.381586551666"
"300";"6320";"2";"14867566.5";"1e+05";"25";"0.84";"147478209";"66.3265795707703"
"300";"6320";"2";"49558555";"1e+05";"25";"0.84";"147371700";"82.5310044288635"
"300";"6320";"2";"14867566.5";"1000";"30";"0.84";"147053909";"153.87699007988"
"300";"6320";"2";"49558555";"1000";"30";"0.84";"147038375";"173.022775411606"
"300";"6320";"2";"14867566.5";"10000";"30";"0.84";"146407828";"115.441608667374"
"300";"6320";"2";"49558555";"10000";"30";"0.84";"145424156";"134.688874483109"
"300";"6320";"2";"14867566.5";"1e+05";"30";"0.84";"146099233";"79.7811017036438"
"300";"6320";"2";"49558555";"1e+05";"30";"0.84";"147174689";"99.0872864723206"
