"nodes";"arcs";"algorithm";"t0";"tf";"it";"lambda";"cost";"total_time"
"300";"6320";"1";"49558555";"10000";"25";"0.89";"147071476";"178.362584352493"
"300";"6320";"1";"14867566.5";"1e+05";"25";"0.89";"148762114";"103.195382595062"
"300";"6320";"1";"49558555";"1e+05";"25";"0.89";"145890674";"130.061058521271"
"300";"6320";"1";"14867566.5";"1000";"30";"0.89";"146751294";"239.669580459595"
"300";"6320";"1";"49558555";"1000";"30";"0.89";"146827474";"268.825151920319"
"300";"6320";"1";"14867566.5";"10000";"30";"0.89";"147119726";"182.056829929352"
"300";"6320";"1";"49558555";"10000";"30";"0.89";"147279650";"213.978610277176"
"300";"6320";"1";"14867566.5";"1e+05";"30";"0.89";"147270361";"124.378353834152"
"300";"6320";"1";"49558555";"1e+05";"30";"0.89";"148041621";"156.170259237289"
"300";"6320";"1";"14867566.5";"1000";"15";"0.94";"146800234";"223.304431915283"
"300";"6320";"1";"49558555";"1000";"15";"0.94";"146399902";"248.12407207489"
"300";"6320";"1";"14867566.5";"10000";"15";"0.94";"148095231";"168.949205875397"
"300";"6320";"1";"49558555";"10000";"15";"0.94";"147215245";"196.089620828629"
"300";"6320";"1";"14867566.5";"1e+05";"15";"0.94";"146522010";"115.447834730148"
"300";"6320";"1";"49558555";"1e+05";"15";"0.94";"148676118";"143.307498931885"
"300";"6320";"1";"14867566.5";"1000";"20";"0.94";"145986897";"295.912046909332"
"300";"6320";"1";"49558555";"1000";"20";"0.94";"145986852";"331.897137641907"
"300";"6320";"1";"14867566.5";"10000";"20";"0.94";"146919072";"225.733831644058"
"300";"6320";"1";"49558555";"10000";"20";"0.94";"147127843";"261.294303417206"
"300";"6320";"1";"14867566.5";"1e+05";"20";"0.94";"146426124";"153.461970090866"
"300";"6320";"1";"49558555";"1e+05";"20";"0.94";"145677578";"191.582760572433"
"300";"6320";"1";"14867566.5";"1000";"25";"0.94";"146417489";"370.782691478729"
"300";"6320";"1";"49558555";"1000";"25";"0.94";"145507988";"414.975346088409"
"300";"6320";"1";"14867566.5";"10000";"25";"0.94";"146834961";"282.346932172775"
"300";"6320";"1";"49558555";"10000";"25";"0.94";"146134816";"327.507602930069"
"300";"6320";"1";"14867566.5";"1e+05";"25";"0.94";"147372020";"191.720569133759"
"300";"6320";"1";"49558555";"1e+05";"25";"0.94";"147634283";"239.682664394379"
