"nodes";"arcs";"algorithm";"t0";"tf";"it";"lambda";"cost";"total_time"
"300";"6320";"2";"14867566.5";"1000";"15";"0.79";"145437201";"45.5158252716064"
"300";"6320";"2";"49558555";"1000";"15";"0.79";"145478073";"50.629686832428"
"300";"6320";"2";"14867566.5";"10000";"15";"0.79";"146080850";"34.0761275291443"
"300";"6320";"2";"49558555";"10000";"15";"0.79";"148094881";"40.5805194377899"
"300";"6320";"2";"14867566.5";"1e+05";"15";"0.79";"148340949";"24.2044970989227"
"300";"6320";"2";"49558555";"1e+05";"15";"0.79";"148472267";"29.5988078117371"
"300";"6320";"2";"14867566.5";"1000";"20";"0.79";"146267014";"59.8201446533203"
"300";"6320";"2";"49558555";"1000";"20";"0.79";"146689743";"67.1513199806213"
"300";"6320";"2";"14867566.5";"10000";"20";"0.79";"147915530";"45.340628862381"
"300";"6320";"2";"49558555";"10000";"20";"0.79";"145737575";"53.9593362808228"
"300";"6320";"2";"14867566.5";"1e+05";"20";"0.79";"146032555";"32.1159293651581"
"300";"6320";"2";"49558555";"1e+05";"20";"0.79";"147600809";"39.5366532802582"
"300";"6320";"2";"14867566.5";"1000";"25";"0.79";"145906552";"74.8411390781403"
"300";"6320";"2";"49558555";"1000";"25";"0.79";"145558437";"83.9728078842163"
"300";"6320";"2";"14867566.5";"10000";"25";"0.79";"145986177";"56.655684709549"
"300";"6320";"2";"49558555";"10000";"25";"0.79";"148040541";"67.7018387317657"
"300";"6320";"2";"14867566.5";"1e+05";"25";"0.79";"148673500";"40.303936958313"
"300";"6320";"2";"49558555";"1e+05";"25";"0.79";"146123263";"49.2055883407593"
"300";"6320";"2";"14867566.5";"1000";"30";"0.79";"145436132";"89.7182228565216"
"300";"6320";"2";"49558555";"1000";"30";"0.79";"145793651";"100.705799818039"
"300";"6320";"2";"14867566.5";"10000";"30";"0.79";"146228074";"67.8347344398499"
"300";"6320";"2";"49558555";"10000";"30";"0.79";"146832579";"81.0232336521149"
"300";"6320";"2";"14867566.5";"1e+05";"30";"0.79";"146979396";"48.3139402866364"
"300";"6320";"2";"49558555";"1e+05";"30";"0.79";"147292477";"59.3074109554291"
"300";"6320";"2";"14867566.5";"1000";"15";"0.84";"146118888";"61.488498210907"
"300";"6320";"2";"49558555";"1000";"15";"0.84";"147114910";"68.9967322349548"
"300";"6320";"2";"14867566.5";"10000";"15";"0.84";"145549929";"45.9278457164764"
"300";"6320";"2";"49558555";"10000";"15";"0.84";"146380496";"53.5922820568085"
"300";"6320";"2";"14867566.5";"1e+05";"15";"0.84";"147588305";"31.8342447280884"
"300";"6320";"2";"49558555";"1e+05";"15";"0.84";"147211027";"39.2904770374298"
"300";"6320";"2";"14867566.5";"1000";"20";"0.84";"146139158";"81.7149426937103"
"300";"6320";"2";"49558555";"1000";"20";"0.84";"145801321";"92.1166884899139"
"300";"6320";"2";"14867566.5";"10000";"20";"0.84";"147965602";"61.2731387615204"
"300";"6320";"2";"49558555";"10000";"20";"0.84";"145818578";"71.5279784202576"
"300";"6320";"2";"14867566.5";"1e+05";"20";"0.84";"147972424";"42.3726806640625"
"300";"6320";"2";"49558555";"1e+05";"20";"0.84";"146885411";"52.6174268722534"
"300";"6320";"2";"14867566.5";"1000";"25";"0.84";"145533042";"102.193824529648"
"300";"6320";"2";"49558555";"1000";"25";"0.84";"145789565";"115.033308267593"
"300";"6320";"2";"14867566.5";"10000";"25";"0.84";"146274123";"76.8254482746124"
"300";"6320";"2";"49558555";"10000";"25";"0.84";"146660328";"89.3970818519592"
"300";"6320";"2";"14867566.5";"1e+05";"25";"0.84";"148035959";"52.8286869525909"
"300";"6320";"2";"49558555";"1e+05";"25";"0.84";"145438458";"66.0568876266479"
"300";"6320";"2";"14867566.5";"1000";"30";"0.84";"146277579";"122.974263191223"
"300";"6320";"2";"49558555";"1000";"30";"0.84";"145412080";"137.321951627731"
"300";"6320";"2";"14867566.5";"10000";"30";"0.84";"145471215";"91.2695055007935"
"300";"6320";"2";"49558555";"10000";"30";"0.84";"146158641";"106.198721647263"
"300";"6320";"2";"14867566.5";"1e+05";"30";"0.84";"145622201";"62.8954031467438"
"300";"6320";"2";"49558555";"1e+05";"30";"0.84";"147914601";"77.9160370826721"
"300";"6320";"2";"14867566.5";"1000";"15";"0.89";"147191677";"89.8152496814728"
"300";"6320";"2";"49558555";"1000";"15";"0.89";"145514670";"100.836782932281"
"300";"6320";"2";"14867566.5";"10000";"15";"0.89";"145984629";"68.3504898548126"
"300";"6320";"2";"49558555";"10000";"15";"0.89";"145862280";"80.1683616638184"
"300";"6320";"2";"14867566.5";"1e+05";"15";"0.89";"145745643";"46.6060242652893"
"300";"6320";"2";"49558555";"1e+05";"15";"0.89";"147284477";"58.3200035095215"
"300";"6320";"2";"14867566.5";"1000";"20";"0.89";"146389106";"120.048890829086"
"300";"6320";"2";"49558555";"1000";"20";"0.89";"146036601";"134.255042314529"
"300";"6320";"2";"14867566.5";"10000";"20";"0.89";"145400229";"91.0650281906128"
"300";"6320";"2";"49558555";"10000";"20";"0.89";"145604572";"107.090698003769"
"300";"6320";"2";"14867566.5";"1e+05";"20";"0.89";"147411288";"62.0207560062408"
"300";"6320";"2";"49558555";"1e+05";"20";"0.89";"147508141";"78.0104858875275"
"300";"6320";"2";"14867566.5";"1000";"25";"0.89";"145874171";"149.884926557541"
"300";"6320";"2";"49558555";"1000";"25";"0.89";"146310071";"168.101949691772"
"300";"6320";"2";"14867566.5";"10000";"25";"0.89";"146197017";"113.539387702942"
"300";"6320";"2";"49558555";"10000";"25";"0.89";"148084993";"133.766974210739"
"300";"6320";"2";"14867566.5";"1e+05";"25";"0.89";"147964834";"77.5656311511993"
"300";"6320";"2";"49558555";"1e+05";"25";"0.89";"145887170";"97.1692678928375"
