"nodes";"arcs";"algorithm";"t0";"tf";"it";"lambda";"cost";"total_time"
"300";"6320";"2";"14867566.5";"1000";"15";"0.79";"147591144";"45.8486399650574"
"300";"6320";"2";"49558555";"1000";"15";"0.79";"145878961";"50.9133296012878"
"300";"6320";"2";"14867566.5";"10000";"15";"0.79";"146132798";"34.2161922454834"
"300";"6320";"2";"49558555";"10000";"15";"0.79";"147633753";"40.8822915554047"
"300";"6320";"2";"14867566.5";"1e+05";"15";"0.79";"148746837";"24.2666919231415"
"300";"6320";"2";"49558555";"1e+05";"15";"0.79";"148345320";"29.9573082923889"
"300";"6320";"2";"14867566.5";"1000";"20";"0.79";"146797856";"60.4028377532959"
"300";"6320";"2";"49558555";"1000";"20";"0.79";"145544810";"67.8960111141205"
"300";"6320";"2";"14867566.5";"10000";"20";"0.79";"146717005";"45.6049485206604"
"300";"6320";"2";"49558555";"10000";"20";"0.79";"147565140";"54.4128346443176"
"300";"6320";"2";"14867566.5";"1e+05";"20";"0.79";"148461262";"32.3443131446838"
"300";"6320";"2";"49558555";"1e+05";"20";"0.79";"147526484";"39.7964005470276"
"300";"6320";"2";"14867566.5";"1000";"25";"0.79";"146886429";"75.5940463542938"
"300";"6320";"2";"49558555";"1000";"25";"0.79";"145637198";"84.4507927894592"
"300";"6320";"2";"14867566.5";"10000";"25";"0.79";"145802596";"57.1907589435577"
"300";"6320";"2";"49558555";"10000";"25";"0.79";"147511252";"67.9228296279907"
"300";"6320";"2";"14867566.5";"1e+05";"25";"0.79";"145657119";"40.4979650974274"
"300";"6320";"2";"49558555";"1e+05";"25";"0.79";"148038455";"49.6740908622742"
"300";"6320";"2";"14867566.5";"1000";"30";"0.79";"146559574";"90.3244223594666"
"300";"6320";"2";"49558555";"1000";"30";"0.79";"146508788";"101.736466407776"
"300";"6320";"2";"14867566.5";"10000";"30";"0.79";"147644348";"68.2976713180542"
"300";"6320";"2";"49558555";"10000";"30";"0.79";"147752645";"81.7029790878296"
